Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),157.26,0.00,6367.25,,,,,,158.06,,163.42,165.95,187.79,70.08
Active Decode Throughput Per User (tokens/sec/user),157.26,0.00,6367.25,,,,,,158.06,,163.42,165.95,187.79,70.08
Active Prefill Throughput (tokens/sec),31320.78,23417.81,32137.20,,,,,,31593.75,,31846.07,31952.94,32137.20,1242.02
Active Prefill Throughput Per User (tokens/sec/user),31320.78,23417.81,32137.20,,,,,,31593.75,,31846.07,31952.94,32137.20,1242.02
Active Total Throughput (tokens/sec),4046.79,138.82,32137.20,,,,,,158.29,,31407.44,31642.94,31917.25,10309.00
Credit-to-Start Latency (ms),4.45,3.90,7.46,284.57,4.02,4.09,4.13,4.23,4.30,4.46,4.69,5.48,6.43,0.51
Decode Duration (ms),1604.87,1594.67,1618.95,102711.45,1594.74,1596.19,1598.74,1604.19,1605.77,1606.89,1607.76,1608.46,1613.05,3.97
E2E Output Token Throughput (tokens/sec/user),138.19,122.05,140.72,8844.36,127.37,133.20,135.39,137.99,139.06,139.59,139.84,140.03,140.41,2.79
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.07
Effective Decode Concurrency,0.87,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.34
Effective Decode Throughput (tokens/sec),136.95,0.00,6367.25,,,,,,157.25,,163.00,165.36,178.99,84.02
Effective Decode Throughput Per User (tokens/sec/user),136.95,0.00,6367.25,,,,,,157.25,,163.00,165.36,178.99,84.02
Effective Latency (CO-aware) (ms),1838.31,1823.39,1905.45,117651.53,1826.44,1831.49,1833.30,1835.74,1837.36,1838.60,1840.71,1846.15,1870.01,9.33
Effective Prefill Concurrency,0.12,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.33
Effective Prefill Throughput (tokens/sec),3889.62,0.00,32137.20,,,,,,0.00,,31392.19,31642.94,31917.25,10338.68
Effective Prefill Throughput Per User (tokens/sec/user),3889.62,0.00,32137.20,,,,,,0.00,,31392.19,31642.94,31917.25,10338.68
Effective Total Throughput (tokens/sec),4026.56,0.00,32137.20,,,,,,158.29,,31392.19,31642.94,31917.25,10287.16
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.56,253.00,256.00,16356.00,253.00,254.00,255.00,255.00,256.00,256.00,256.00,256.00,256.00,0.73
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),64.42,63.43,64.67,4122.63,63.64,63.97,64.17,64.33,64.48,64.57,64.61,64.64,64.66,0.23
HTTP Data Sent (KB),29.75,28.20,30.93,1903.85,28.25,28.68,29.14,29.49,29.87,30.10,30.29,30.37,30.65,0.53
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1833.66,1819.04,1900.56,117354.51,1822.05,1827.07,1828.81,1831.22,1832.98,1833.90,1836.15,1841.09,1865.46,9.26
HTTP Receiving (ms),1604.98,1594.68,1618.96,102718.80,1594.75,1596.20,1599.72,1604.58,1605.78,1606.90,1607.76,1608.46,1613.05,3.89
HTTP Sending (ms),0.39,0.34,1.42,25.18,0.35,0.35,0.35,0.35,0.36,0.37,0.42,0.46,0.97,0.14
HTTP Total Time (ms),1833.66,1819.04,1900.56,117354.51,1822.05,1827.07,1828.81,1831.22,1832.98,1833.90,1836.15,1841.09,1865.46,9.26
HTTP Waiting (TTFB) (ms),228.29,222.54,305.22,14610.53,222.74,223.85,224.55,225.42,226.29,227.07,233.95,236.08,262.66,10.24
Input Sequence Length (tokens),7168.84,7168.00,7169.00,458806.00,7168.00,7168.00,7168.00,7169.00,7169.00,7169.00,7169.00,7169.00,7169.00,0.36
Inter Chunk Latency (ms),6.36,0.16,27.10,102711.45,0.80,5.93,6.08,6.21,6.31,6.44,6.60,6.90,12.46,1.40
Inter Token Latency (ms),6.36,6.25,7.20,407.10,6.25,6.26,6.28,6.30,6.32,6.37,6.43,6.60,6.91,0.14
OSL Mismatch Diff % (%),-1.01,-12.50,0.39,-64.84,-8.81,-4.63,-2.50,-1.17,-0.39,0.00,0.00,0.00,0.14,1.95
Output Sequence Length (tokens),253.41,224.00,257.00,16218.00,233.45,244.15,249.60,253.00,255.00,256.00,256.00,256.00,256.37,5.00
Output Token Count (tokens),253.41,224.00,257.00,16218.00,233.45,244.15,249.60,253.00,255.00,256.00,256.00,256.00,256.37,5.00
Output Token Throughput Per User (tokens/sec/user),157.28,138.82,159.91,10065.71,144.82,151.42,155.44,157.00,158.15,158.81,159.19,159.69,159.90,3.15
Prefill Throughput Per User (tokens/sec/user),31370.04,23417.81,32137.20,2007682.38,27622.71,30277.40,30530.38,31494.94,31598.26,31724.95,31845.61,31948.01,32093.86,1099.44
Request Latency (ms),1833.75,1819.26,1900.81,117360.07,1822.26,1826.86,1828.85,1831.22,1833.08,1834.08,1836.33,1841.33,1865.66,9.31
Time to First Output Token (ms),228.88,223.07,306.13,14648.61,223.38,224.40,225.12,225.97,226.86,227.62,234.82,236.75,263.36,10.30
Time to First Token (ms),228.88,223.07,306.13,14648.61,223.38,224.40,225.12,225.97,226.86,227.62,234.82,236.75,263.36,10.30
Time to Second Token (ms),0.61,0.19,3.30,39.11,0.20,0.21,0.22,0.28,0.34,0.56,1.04,2.64,3.22,0.69
Tokens In Flight (tokens),7243.67,0.00,7425.00,,,,,,7278.00,,7392.88,7407.07,7420.00,519.59

Metric,Value
Benchmark Duration (sec),117.95
Input Token Throughput (tokens/sec),3889.62
OSL Mismatch Count,2.00
Output Token Throughput (tokens/sec),137.49
Request Count,64.00
Request Throughput (requests/sec),0.54
Total Input Sequence Length (tokens),458806.00
Total Output Sequence Length (tokens),16218.00
Total Output Tokens (tokens),16218.00
Total Token Throughput (tokens/sec),4027.11
