Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),893.16,0.00,8725.73,,,,,,979.18,,1047.83,1074.58,1916.06,373.97
Active Decode Throughput Per User (tokens/sec/user),118.22,0.00,4932.57,,,,,,123.23,,132.60,142.57,277.87,51.53
Active Prefill Throughput (tokens/sec),117093.96,25798.83,292878.96,,,,,,121939.68,,176552.62,246724.13,292878.96,55163.93
Active Prefill Throughput Per User (tokens/sec/user),58791.53,25682.12,81418.54,,,,,,64280.91,,72568.68,76084.84,79878.86,13698.03
Active Total Throughput (tokens/sec),26027.79,126.64,292878.96,,,,,,967.96,,124943.35,145241.38,247093.78,54320.93
Credit-to-Start Latency (ms),4.36,1.14,12.05,278.85,1.14,1.49,1.99,4.15,4.45,4.71,5.29,6.35,9.54,1.58
Decode Duration (ms),2106.45,1865.20,2158.07,134812.87,1958.70,2058.63,2067.77,2091.63,2114.18,2133.52,2140.08,2146.61,2156.12,41.50
E2E Output Token Throughput (tokens/sec/user),113.32,106.80,120.82,7252.20,107.18,108.23,109.19,112.10,113.34,114.74,116.18,117.57,119.20,2.70
Effective Concurrency,7.87,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.71
Effective Decode Concurrency,7.40,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.35
Effective Decode Throughput (tokens/sec),887.06,0.00,8725.73,,,,,,978.71,,1047.65,1074.43,1916.06,379.88
Effective Decode Throughput Per User (tokens/sec/user),117.41,0.00,4932.57,,,,,,123.18,,132.58,142.56,277.87,52.27
Effective Latency (CO-aware) (ms),2250.77,2126.89,2370.48,144049.41,2141.92,2181.23,2206.18,2224.58,2245.93,2267.38,2322.35,2351.68,2370.35,48.55
Effective Prefill Concurrency,0.48,0.00,8.00,,,,,,0.00,,2.00,3.00,5.00,1.17
Effective Prefill Throughput (tokens/sec),25130.47,0.00,292878.96,,,,,,0.00,,124341.90,144523.33,246724.13,54444.29
Effective Prefill Throughput Per User (tokens/sec/user),12617.72,0.00,81418.54,,,,,,0.00,,64867.25,68821.94,76084.84,24957.53
Effective Total Throughput (tokens/sec),26017.53,0.00,292878.96,,,,,,967.96,,124943.35,145241.38,247093.78,54312.68
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,251.08,247.00,256.00,16069.00,247.00,247.00,248.00,249.00,251.00,254.00,255.70,256.00,256.00,2.81
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),63.31,62.31,64.70,4051.98,62.31,62.35,62.47,62.75,63.26,63.78,64.36,64.51,64.63,0.68
HTTP Data Sent (KB),29.75,28.20,30.93,1903.85,28.25,28.68,29.14,29.49,29.87,30.10,30.29,30.37,30.65,0.53
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2246.19,2118.26,2368.75,143756.12,2133.87,2177.36,2201.86,2219.93,2241.21,2263.20,2317.59,2349.96,2368.30,49.18
HTTP Receiving (ms),2109.96,2013.60,2158.07,135037.20,2035.92,2059.10,2071.72,2091.63,2114.20,2133.53,2140.09,2146.62,2156.13,28.38
HTTP Sending (ms),0.47,0.24,1.83,30.12,0.26,0.28,0.34,0.37,0.40,0.45,0.66,0.76,1.60,0.26
HTTP Total Time (ms),2246.19,2118.26,2368.75,143756.12,2133.87,2177.36,2201.86,2219.93,2241.21,2263.20,2317.59,2349.96,2368.30,49.18
HTTP Waiting (TTFB) (ms),135.76,87.49,279.47,8688.80,88.88,91.53,97.68,103.58,113.71,158.19,193.00,249.76,279.17,48.33
Input Sequence Length (tokens),7168.84,7168.00,7169.00,458806.00,7168.00,7168.00,7168.00,7169.00,7169.00,7169.00,7169.00,7169.00,7169.00,0.36
Inter Chunk Latency (ms),8.48,0.20,56.55,134812.87,1.67,5.06,7.41,7.89,8.15,8.40,8.92,13.47,20.43,3.01
Inter Token Latency (ms),8.32,7.87,8.73,532.79,7.89,8.07,8.12,8.23,8.34,8.44,8.50,8.53,8.67,0.16
OSL Mismatch Diff % (%),-0.76,-7.03,0.39,-48.83,-5.06,-3.28,-1.95,-1.27,-0.39,0.00,0.00,0.00,0.39,1.24
Output Sequence Length (tokens),254.05,238.00,257.00,16259.00,243.04,247.60,251.00,252.75,255.00,256.00,256.00,256.00,257.00,3.17
Output Token Count (tokens),254.05,238.00,257.00,16259.00,243.04,247.60,251.00,252.75,255.00,256.00,256.00,256.00,257.00,3.17
Output Token Throughput Per User (tokens/sec/user),120.17,114.55,127.06,7690.67,115.41,117.27,117.67,118.47,119.95,121.45,123.19,123.84,126.80,2.33
Prefill Throughput Per User (tokens/sec/user),57517.31,25598.03,81418.48,3681107.65,25630.46,28646.67,37010.76,45165.30,62646.28,68755.02,72924.56,77314.52,79478.49,14803.06
Request Latency (ms),2242.92,2118.83,2368.18,143546.88,2134.46,2166.28,2199.55,2217.59,2239.75,2262.06,2309.41,2345.89,2367.21,48.25
Time to First Output Token (ms),136.47,88.05,280.02,8734.01,90.23,92.73,98.31,104.27,114.43,158.80,193.68,250.26,279.69,48.23
Time to First Token (ms),136.47,88.05,280.02,8734.01,90.23,92.73,98.31,104.27,114.43,158.80,193.68,250.26,279.69,48.23
Time to Second Token (ms),4.81,0.94,29.92,307.72,1.10,1.24,1.37,1.78,2.17,3.17,13.95,21.03,29.92,6.91
Tokens In Flight (tokens),57401.52,0.00,59325.97,,,,,,58275.37,,58998.70,59104.77,59222.53,5170.20

Metric,Value
Benchmark Duration (sec),18.25
Input Token Throughput (tokens/sec),25130.47
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),890.56
Request Count,64.00
Request Throughput (requests/sec),3.51
Total Input Sequence Length (tokens),458806.00
Total Output Sequence Length (tokens),16259.00
Total Output Tokens (tokens),16259.00
Total Token Throughput (tokens/sec),26021.03
