Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1245.64,0.00,5942.36,,,,,,1245.06,,1389.13,1449.79,1657.89,153.79
Active Decode Throughput Per User (tokens/sec/user),156.93,0.00,794.91,,,,,,156.20,,174.22,182.71,211.95,17.68
Active Prefill Throughput (tokens/sec),43435.87,5766.02,78421.81,,,,,,56567.92,,76269.22,78421.81,78421.81,30528.49
Active Prefill Throughput Per User (tokens/sec/user),7874.39,5766.02,10544.88,,,,,,8659.60,,9533.65,9802.73,10336.37,1559.30
Active Total Throughput (tokens/sec),3655.28,152.88,78421.81,,,,,,1261.84,,1268.41,6960.31,73474.97,12149.95
Credit-to-Start Latency (ms),4.60,2.48,9.49,294.20,2.65,2.89,3.64,4.00,4.18,4.44,6.71,7.69,8.76,1.38
Decode Duration (ms),1599.76,1562.09,1612.24,102384.63,1565.04,1569.22,1574.14,1603.07,1605.34,1606.59,1608.11,1608.97,1611.18,13.22
E2E Output Token Throughput (tokens/sec/user),152.01,122.84,155.07,9728.69,131.99,148.49,150.38,151.92,153.08,154.13,154.59,154.87,155.04,4.67
Effective Concurrency,7.95,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.55
Effective Decode Concurrency,7.66,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.54
Effective Decode Throughput (tokens/sec),1202.05,0.00,5942.36,,,,,,1240.83,,1386.59,1449.03,1655.16,274.26
Effective Decode Throughput Per User (tokens/sec/user),151.44,0.00,794.91,,,,,,155.53,,173.77,181.93,211.73,33.67
Effective Latency (CO-aware) (ms),1666.02,1648.66,1675.71,106625.27,1654.27,1658.33,1658.88,1663.68,1667.41,1668.14,1670.95,1673.36,1675.30,4.58
Effective Prefill Concurrency,0.29,0.00,8.00,,,,,,0.00,,0.00,1.00,8.00,1.40
Effective Prefill Throughput (tokens/sec),2449.55,0.00,78421.81,,,,,,0.00,,0.00,5859.76,73474.97,12367.58
Effective Prefill Throughput Per User (tokens/sec/user),444.07,0.00,10544.88,,,,,,0.00,,0.00,5859.50,9234.10,1853.84
Effective Total Throughput (tokens/sec),3651.60,0.00,78421.81,,,,,,1261.84,,1268.41,6960.31,73474.97,12144.37
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,252.98,205.00,257.00,16191.00,220.75,246.30,249.30,252.00,255.00,257.00,257.00,257.00,257.00,7.59
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),78.44,63.09,79.56,5020.26,68.03,77.60,77.93,78.50,78.90,79.36,79.42,79.46,79.55,2.35
HTTP Data Sent (KB),2.21,2.01,2.46,141.56,2.04,2.07,2.10,2.15,2.21,2.27,2.32,2.34,2.41,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
