Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1269.06,0.00,12484.35,,,,,,1282.63,,1379.57,1418.90,1547.81,146.38
Active Decode Throughput Per User (tokens/sec/user),159.95,0.00,2080.73,,,,,,160.50,,173.02,178.28,204.91,18.04
Active Prefill Throughput (tokens/sec),59810.68,5833.27,83009.38,,,,,,71885.10,,82637.04,82637.04,83009.38,26244.65
Active Prefill Throughput Per User (tokens/sec/user),9570.92,5833.27,11124.27,,,,,,9937.47,,10329.63,10376.17,11124.27,1095.79
Active Total Throughput (tokens/sec),3747.41,155.92,83009.38,,,,,,1295.37,,1303.05,1303.05,80609.73,12937.93
Credit-to-Start Latency (ms),4.56,1.77,11.40,291.90,1.89,2.68,3.02,4.02,4.25,4.75,6.46,7.03,8.79,1.45
Decode Duration (ms),1545.19,351.96,1574.17,98891.89,1100.80,1557.52,1559.76,1561.82,1563.78,1567.62,1569.61,1570.79,1572.95,150.41
E2E Output Token Throughput (tokens/sec/user),156.95,137.26,158.99,10045.07,146.52,152.67,155.29,156.41,157.93,158.34,158.65,158.74,158.98,2.94
Effective Concurrency,7.95,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.50
Effective Decode Concurrency,7.69,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.49
Effective Decode Throughput (tokens/sec),1229.06,0.00,12484.35,,,,,,1279.28,,1377.90,1416.92,1543.13,264.41
Effective Decode Throughput Per User (tokens/sec/user),154.91,0.00,2080.73,,,,,,160.14,,172.73,177.97,203.72,33.11
Effective Latency (CO-aware) (ms),1622.45,1614.26,1635.13,103836.81,1615.21,1616.17,1616.54,1618.73,1622.27,1624.57,1627.84,1628.59,1635.13,4.53
Effective Prefill Concurrency,0.26,0.00,8.00,,,,,,0.00,,0.00,0.00,8.00,1.35
Effective Prefill Throughput (tokens/sec),2515.38,0.00,83009.38,,,,,,0.00,,0.00,0.00,80609.73,13156.24
Effective Prefill Throughput Per User (tokens/sec/user),402.51,0.00,11124.27,,,,,,0.00,,0.00,0.00,10134.09,1934.14
Effective Total Throughput (tokens/sec),3744.44,0.00,83009.38,,,,,,1295.37,,1303.05,1303.05,80609.73,12933.23
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,252.23,58.00,257.00,16143.00,177.07,249.30,253.00,254.00,256.00,257.00,257.00,257.00,257.00,24.57
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),78.05,17.69,79.54,4994.93,54.83,77.28,78.27,78.82,79.20,79.38,79.49,79.50,79.53,7.63
HTTP Data Sent (KB),2.21,2.01,2.46,141.56,2.04,2.07,2.10,2.15,2.21,2.27,2.32,2.34,2.41,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1617.65,1604.08,1631.84,103529.92,1606.68,1610.81,1611.91,1614.18,1618.03,1619.93,1621.37,1625.32,1631.75,4.89
HTTP Receiving (ms),1565.17,1541.16,1574.19,100170.99,1550.18,1560.43,1560.80,1563.64,1565.14,1567.87,1570.43,1571.52,1572.97,4.58
HTTP Sending (ms),0.52,0.18,1.88,33.59,0.23,0.35,0.35,0.37,0.39,0.49,0.78,1.48,1.70,0.34
HTTP Total Time (ms),1617.65,1604.08,1631.84,103529.92,1606.68,1610.81,1611.91,1614.18,1618.03,1619.93,1621.37,1625.32,1631.75,4.89
HTTP Waiting (TTFB) (ms),51.96,45.63,86.97,3325.34,45.89,46.43,46.71,47.57,50.98,54.66,57.10,61.33,71.53,6.19
Input Sequence Length (tokens),512.00,512.00,512.00,32768.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),6.17,0.00,25.55,98891.89,4.39,5.23,5.49,5.83,6.15,6.46,6.80,7.04,8.08,0.85
Inter Token Latency (ms),6.18,6.04,6.52,395.61,6.09,6.12,6.12,6.13,6.15,6.21,6.25,6.37,6.45,0.08
OSL Mismatch Diff % (%),-1.89,-78.52,0.00,-120.70,-31.51,-3.46,-1.95,-1.17,-0.20,0.00,0.00,0.00,0.00,9.70
Output Sequence Length (tokens),251.17,55.00,256.00,16075.00,175.33,247.15,251.00,253.00,255.50,256.00,256.00,256.00,256.00,24.84
Output Token Count (tokens),251.17,55.00,256.00,16075.00,175.33,247.15,251.00,253.00,255.50,256.00,256.00,256.00,256.00,24.84
Output Token Throughput Per User (tokens/sec/user),161.80,153.43,165.52,10355.44,155.10,156.93,160.00,161.13,162.57,163.08,163.37,163.49,164.25,2.06
Prefill Throughput Per User (tokens/sec/user),9816.70,5833.27,11124.26,628268.73,7249.39,8225.59,8883.29,9265.29,9897.29,10502.64,10778.71,10896.42,11039.36,929.95
Request Latency (ms),1597.91,400.70,1632.08,102266.43,1159.43,1608.55,1610.20,1613.53,1617.46,1619.46,1620.60,1624.35,1631.77,150.92
Time to First Output Token (ms),52.73,46.03,87.77,3374.54,46.38,46.99,47.50,48.75,51.73,55.26,57.64,62.25,72.39,6.20
Time to First Token (ms),52.73,46.03,87.77,3374.54,46.38,46.99,47.50,48.75,51.73,55.26,57.64,62.25,72.39,6.20
Time to Second Token (ms),4.20,0.00,14.32,269.06,0.00,0.17,2.20,3.14,4.48,5.38,5.81,6.17,9.42,2.07
Tokens In Flight (tokens),5043.02,0.00,6127.01,,,,,,5066.05,,5883.25,6001.00,6096.08,673.23

Metric,Value
Benchmark Duration (sec),13.02
Input Token Throughput (tokens/sec),2515.38
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),1233.97
Request Count,64.00
Request Throughput (requests/sec),4.91
Total Input Sequence Length (tokens),32768.00
Total Output Sequence Length (tokens),16075.00
Total Output Tokens (tokens),16075.00
Total Token Throughput (tokens/sec),3749.35


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
