Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),527.95,0.00,6749.15,,,,,,578.28,,629.60,645.40,698.20,123.87
Active Decode Throughput Per User (tokens/sec/user),143.05,0.00,2083.63,,,,,,148.13,,159.66,164.70,186.75,23.31
Active Prefill Throughput (tokens/sec),60360.70,24787.75,301672.20,,,,,,34309.47,,95299.36,127928.60,207804.88,42867.89
Active Prefill Throughput Per User (tokens/sec/user),52586.09,24787.75,96890.95,,,,,,34309.47,,94469.92,95171.75,96057.41,26561.91
Active Total Throughput (tokens/sec),15542.35,144.60,301672.20,,,,,,583.63,,35087.21,94479.56,136587.71,33668.52
Credit-to-Start Latency (ms),4.56,1.59,10.97,292.06,1.81,2.37,4.05,4.26,4.41,4.69,5.15,6.04,9.37,1.26
Decode Duration (ms),1742.70,1616.33,1844.61,111532.58,1623.73,1657.43,1663.93,1689.13,1745.75,1778.40,1832.54,1837.11,1843.41,59.34
E2E Output Token Throughput (tokens/sec/user),134.94,85.27,150.24,8636.46,108.28,123.24,124.50,127.41,137.69,140.55,144.82,145.21,147.18,9.59
Effective Concurrency,3.93,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.31
Effective Decode Concurrency,3.65,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.58
Effective Decode Throughput (tokens/sec),526.48,0.00,6749.15,,,,,,578.10,,629.56,645.24,697.00,126.79
Effective Decode Throughput Per User (tokens/sec/user),142.65,0.00,2083.63,,,,,,148.10,,159.64,164.70,186.75,24.46
Effective Latency (CO-aware) (ms),1880.61,1710.22,2066.10,120358.97,1745.00,1766.71,1769.69,1815.99,1842.28,1995.85,2051.84,2059.70,2064.51,102.01
Effective Prefill Concurrency,0.28,0.00,4.00,,,,,,0.00,,1.00,1.00,2.00,0.53
Effective Prefill Throughput (tokens/sec),15011.56,0.00,301672.20,,,,,,0.00,,34648.32,94069.75,136295.21,33731.02
Effective Prefill Throughput Per User (tokens/sec/user),13078.03,0.00,96890.95,,,,,,0.00,,34648.32,91503.18,95205.71,26308.79
Effective Total Throughput (tokens/sec),15538.04,0.00,301672.20,,,,,,583.63,,35087.21,94479.56,136587.71,33664.84
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,253.92,177.00,257.00,16251.00,207.24,251.30,253.00,255.00,256.00,257.00,257.00,257.00,257.00,10.60
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),78.46,54.86,79.53,5021.51,64.08,77.66,78.32,78.75,79.19,79.36,79.42,79.46,79.50,3.25
HTTP Data Sent (KB),29.75,28.20,30.93,1903.85,28.25,28.68,29.14,29.49,29.87,30.10,30.29,30.37,30.65,0.53
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1875.83,1705.70,2061.50,120053.39,1740.76,1762.23,1764.91,1807.61,1837.07,1991.09,2046.89,2052.54,2060.02,101.93
HTTP Receiving (ms),1743.45,1618.67,1845.88,111580.51,1625.80,1659.35,1666.04,1689.40,1746.50,1778.71,1833.29,1837.73,1844.33,59.11
HTTP Sending (ms),0.46,0.29,1.81,29.20,0.33,0.36,0.36,0.36,0.38,0.44,0.49,0.67,1.65,0.26
HTTP Total Time (ms),1875.83,1705.70,2061.50,120053.39,1740.76,1762.23,1764.91,1807.61,1837.07,1991.09,2046.89,2052.54,2060.02,101.93
HTTP Waiting (TTFB) (ms),131.93,73.45,288.70,8443.68,73.83,74.70,74.88,75.79,78.85,209.41,217.02,220.11,256.13,67.12
Input Sequence Length (tokens),7168.84,7168.00,7169.00,458806.00,7168.00,7168.00,7168.00,7169.00,7169.00,7169.00,7169.00,7169.00,7169.00,0.36
Inter Chunk Latency (ms),6.92,0.00,315.91,111532.58,4.71,5.78,6.02,6.32,6.62,6.95,7.32,7.65,13.27,5.00
