Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1647.47,0.00,4189.00,,,,,,2010.89,,3122.13,3220.17,3431.09,1364.43
Active Decode Throughput Per User (tokens/sec/user),54.45,0.00,306.98,,,,,,80.96,,98.55,102.11,119.78,43.09
Active Prefill Throughput (tokens/sec),91894.75,9069.61,476686.27,,,,,,79805.59,,154671.49,221094.10,393954.41,68904.21
Active Prefill Throughput Per User (tokens/sec/user),12666.19,4255.95,39538.24,,,,,,10200.14,,24729.43,29610.92,32180.58,7175.03
Active Total Throughput (tokens/sec),48354.29,100.27,476686.27,,,,,,19560.57,,118721.35,156026.11,394105.94,66863.26
Credit-to-Start Latency (ms),4.84,1.97,16.02,1240.02,2.28,2.88,3.38,4.27,4.59,5.00,6.42,7.75,9.17,1.51
Decode Duration (ms),4123.16,2503.27,6296.76,1055528.06,2662.32,2775.88,2876.95,3335.42,3926.22,4974.09,5456.14,5646.60,6093.19,948.22
E2E Output Token Throughput (tokens/sec/user),54.83,24.40,92.44,14037.49,36.84,38.19,39.23,45.86,51.83,61.99,75.72,76.58,87.77,12.68
Effective Concurrency,31.56,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,3.14
Effective Decode Concurrency,26.88,0.00,32.00,,,,,,31.00,,32.00,32.00,32.00,7.11
Effective Decode Throughput (tokens/sec),1639.89,0.00,4189.00,,,,,,1905.03,,3121.36,3219.60,3431.09,1365.85
Effective Decode Throughput Per User (tokens/sec/user),54.20,0.00,306.98,,,,,,80.43,,98.51,102.10,119.78,43.15
Effective Latency (CO-aware) (ms),4849.16,2730.62,6986.58,1241384.26,2904.59,3338.12,3346.85,4095.97,4870.76,5496.68,6400.61,6668.84,6760.79,1041.90
Effective Prefill Concurrency,4.68,0.00,32.00,,,,,,1.00,,14.00,18.00,30.00,6.63
Effective Prefill Throughput (tokens/sec),46703.99,0.00,476686.27,,,,,,17905.38,,117746.00,154671.49,393954.41,67257.53
Effective Prefill Throughput Per User (tokens/sec/user),6437.38,0.00,39538.24,,,,,,4508.59,,17884.25,24729.43,30438.50,8140.12
Effective Total Throughput (tokens/sec),48343.88,0.00,476686.27,,,,,,19560.57,,118721.35,156026.11,394105.94,66859.83
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,254.06,149.00,257.00,65040.00,227.90,250.00,252.00,254.00,255.00,257.00,257.00,257.00,257.00,8.77
HTTP Chunks Sent,1.00,1.00,1.00,256.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,256.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),78.55,45.57,79.58,20109.63,70.39,77.51,77.95,78.52,78.93,79.32,79.42,79.47,79.53,2.73
HTTP Data Sent (KB),29.83,28.17,31.19,7637.60,28.34,28.92,29.19,29.56,29.85,30.13,30.41,30.73,31.16,0.53
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4844.07,2725.81,6981.30,1240081.69,2899.51,3335.19,3342.56,4090.26,4865.72,5491.76,6391.82,6663.95,6755.46,1041.47
HTTP Receiving (ms),4126.24,2503.28,6301.27,1056317.30,2665.46,2776.38,2881.71,3336.67,3928.11,4976.89,5459.52,5649.40,6098.67,949.34
HTTP Sending (ms),0.54,0.20,2.44,139.36,0.33,0.35,0.37,0.38,0.43,0.50,0.77,1.65,1.78,0.34
HTTP Total Time (ms),4844.07,2725.81,6981.30,1240081.69,2899.51,3335.19,3342.56,4090.26,4865.72,5491.76,6391.82,6663.95,6755.46,1041.47
HTTP Waiting (TTFB) (ms),717.29,137.50,1808.41,183625.03,155.93,231.82,242.04,439.79,671.60,985.21,1226.17,1410.29,1723.73,376.52
Input Sequence Length (tokens),7168.81,7167.00,7169.00,1835216.00,7167.55,7168.00,7168.00,7169.00,7169.00,7169.00,7169.00,7169.00,7169.00,0.42
Inter Chunk Latency (ms),16.35,2.73,990.88,1055528.06,6.84,8.17,8.79,9.75,10.69,11.74,13.15,16.68,256.30,36.24
Inter Token Latency (ms),16.43,9.97,34.00,4205.83,10.47,10.96,11.44,13.19,15.48,19.85,21.68,22.69,24.62,3.99
OSL Mismatch Diff % (%),-1.28,-42.97,0.00,-328.52,-12.58,-3.12,-2.34,-1.56,-0.78,0.00,0.00,0.00,0.00,3.54
Output Sequence Length (tokens),252.71,146.00,256.00,64695.00,223.80,248.00,250.00,252.00,254.00,256.00,256.00,256.00,256.00,9.07
Output Token Count (tokens),252.71,146.00,256.00,64695.00,223.80,248.00,250.00,252.00,254.00,256.00,256.00,256.00,256.00,9.07
Output Token Throughput Per User (tokens/sec/user),64.45,29.41,100.27,16498.36,40.63,44.07,46.12,50.37,64.61,75.84,87.40,91.22,95.50,15.25
