Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),162.44,0.00,5764.76,,,,,,165.80,,170.90,173.40,186.87,71.07
Active Decode Throughput Per User (tokens/sec/user),162.44,0.00,5764.76,,,,,,165.80,,170.90,173.40,186.87,71.07
Active Prefill Throughput (tokens/sec),8993.27,5885.26,9573.36,,,,,,9245.05,,9406.94,9459.31,9573.36,687.49
Active Prefill Throughput Per User (tokens/sec/user),8993.27,5885.26,9573.36,,,,,,9245.05,,9406.94,9459.31,9573.36,687.49
Active Total Throughput (tokens/sec),479.05,89.49,9573.36,,,,,,166.42,,166.62,166.70,9324.92,1647.07
Credit-to-Start Latency (ms),4.09,3.83,5.77,261.77,3.85,3.88,3.91,3.94,4.01,4.12,4.27,4.65,5.13,0.28
Decode Duration (ms),1507.83,844.97,1537.24,96501.12,975.20,1524.92,1529.79,1530.44,1530.94,1531.48,1532.12,1532.26,1534.47,109.28
E2E Output Token Throughput (tokens/sec/user),159.53,125.48,161.50,10209.60,143.19,156.97,157.48,159.16,160.74,161.37,161.43,161.47,161.49,4.59
Effective Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.07
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.20
Effective Decode Throughput (tokens/sec),155.75,0.00,5764.76,,,,,,165.62,,170.73,173.19,185.70,76.71
Effective Decode Throughput Per User (tokens/sec/user),155.75,0.00,5764.76,,,,,,165.62,,170.73,173.19,185.70,76.71
Effective Latency (CO-aware) (ms),1591.98,1588.05,1622.69,101886.96,1588.26,1589.14,1589.40,1589.91,1590.46,1591.83,1595.64,1599.22,1611.69,5.01
Effective Prefill Concurrency,0.04,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.19
Effective Prefill Throughput (tokens/sec),320.66,0.00,9573.36,,,,,,0.00,,0.00,0.00,9324.92,1672.68
Effective Prefill Throughput Per User (tokens/sec/user),320.66,0.00,9573.36,,,,,,0.00,,0.00,0.00,9324.92,1672.68
Effective Total Throughput (tokens/sec),476.42,0.00,9573.36,,,,,,166.42,,166.62,166.70,9324.92,1642.91
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.83,254.00,256.00,16373.00,254.63,255.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,0.42
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),64.45,63.85,64.72,4124.79,63.88,64.12,64.26,64.40,64.48,64.56,64.60,64.64,64.71,0.16
HTTP Data Sent (KB),2.21,2.01,2.46,141.56,2.04,2.07,2.10,2.15,2.21,2.27,2.32,2.34,2.41,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1587.71,1583.81,1617.87,101613.24,1584.08,1585.01,1585.19,1585.74,1586.18,1587.41,1591.45,1594.95,1607.19,4.93
