Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),863.84,0.00,3403.06,,,,,,74.20,,2143.52,2257.07,2474.03,972.10
Active Decode Throughput Per User (tokens/sec/user),27.82,0.00,280.98,,,,,,2.95,,67.09,70.61,78.09,30.02
Active Prefill Throughput (tokens/sec),40956.15,1298.57,121968.85,,,,,,42095.67,,66046.63,75622.10,98385.90,19966.95
Active Prefill Throughput Per User (tokens/sec/user),3548.42,1298.57,29273.99,,,,,,3240.56,,4871.94,5815.01,10494.52,1893.75
Active Total Throughput (tokens/sec),25403.21,65.21,121968.85,,,,,,20571.12,,58989.86,69989.41,92176.79,25096.49
Credit-to-Start Latency (ms),4.72,1.68,13.34,1207.25,1.91,2.56,2.86,4.20,4.49,4.84,6.47,8.15,9.98,1.59
Decode Duration (ms),7202.41,3304.41,9096.73,1843815.97,4014.00,5708.10,6628.72,6809.39,7125.17,7614.37,8378.52,8636.99,9067.21,894.03
E2E Output Token Throughput (tokens/sec/user),27.37,6.83,43.93,7007.43,20.15,23.26,25.39,26.55,27.16,27.84,29.12,32.47,41.43,3.36
Effective Concurrency,31.93,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,0.89
Effective Decode Concurrency,24.72,0.00,32.00,,,,,,25.00,,32.00,32.00,32.00,7.22
Effective Decode Throughput (tokens/sec),860.20,0.00,3403.06,,,,,,74.20,,2142.22,2256.34,2474.03,971.66
Effective Decode Throughput Per User (tokens/sec/user),27.70,0.00,280.98,,,,,,2.95,,67.09,70.58,78.09,30.01
Effective Latency (CO-aware) (ms),9333.36,5832.25,12583.61,2389340.92,6172.46,7860.06,8707.03,9173.98,9366.95,9556.99,9841.37,10527.07,12235.51,866.29
Effective Prefill Concurrency,7.22,0.00,32.00,,,,,,7.00,,15.00,16.00,30.00,7.19
Effective Prefill Throughput (tokens/sec),24539.02,0.00,121968.85,,,,,,19703.08,,58311.42,69106.43,91469.29,25332.39
