Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),7050.73,0.00,32957.32,,,,,,7936.04,,9472.13,10365.98,14683.19,3383.78
Active Decode Throughput Per User (tokens/sec/user),111.26,0.00,514.96,,,,,,124.06,,148.11,162.10,229.62,51.28
Active Prefill Throughput (tokens/sec),72944.30,847.20,388088.63,,,,,,73663.26,,107920.46,163026.87,381690.04,59003.79
Active Prefill Throughput Per User (tokens/sec/user),1557.37,847.20,6796.09,,,,,,1204.66,,2629.47,4203.63,6064.41,1103.64
Active Total Throughput (tokens/sec),20857.19,134.30,388088.63,,,,,,8160.17,,73768.28,85130.84,163275.45,36455.20
Credit-to-Start Latency (ms),7.83,0.55,22.41,4010.24,0.81,1.12,1.39,4.44,6.56,10.75,16.30,18.02,19.53,5.07
Decode Duration (ms),1975.42,1089.33,2431.77,1011413.04,1640.65,1886.66,1890.36,1903.58,1911.20,2126.71,2180.77,2186.08,2391.60,146.32
E2E Output Token Throughput (tokens/sec/user),109.93,33.18,130.54,56283.60,95.20,99.91,100.72,101.71,103.65,116.83,127.68,129.43,130.22,10.87
Effective Concurrency,63.58,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,3.60
Effective Decode Concurrency,54.40,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,20.84
Effective Decode Throughput (tokens/sec),6862.08,0.00,32957.32,,,,,,7898.59,,9442.79,10311.74,14643.99,3526.77
Effective Decode Throughput Per User (tokens/sec/user),108.28,0.00,514.96,,,,,,123.47,,147.70,161.36,228.97,53.69
Effective Latency (CO-aware) (ms),2335.69,1968.22,2565.02,1195874.86,1975.52,1989.05,1998.61,2182.69,2398.46,2517.56,2530.52,2534.95,2546.52,199.48
Effective Prefill Concurrency,9.18,0.00,64.00,,,,,,0.00,,55.00,62.00,64.00,20.39
Effective Prefill Throughput (tokens/sec),13983.85,0.00,388088.63,,,,,,0.00,,73663.26,85130.84,163026.87,38625.22
Effective Prefill Throughput Per User (tokens/sec/user),298.56,0.00,6796.09,,,,,,0.00,,1204.66,1530.20,4172.86,780.59
Effective Total Throughput (tokens/sec),20845.93,0.00,388088.63,,,,,,8160.17,,73768.28,85130.84,163275.45,36448.58
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,234.52,87.00,254.00,120073.00,171.99,210.00,214.00,223.00,240.00,246.00,249.00,251.00,252.00,17.55
HTTP Chunks Sent,1.00,1.00,1.00,512.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,512.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),74.30,28.95,79.42,38042.63,54.46,67.44,68.35,71.62,75.94,77.63,78.31,78.62,79.14,5.23
HTTP Data Sent (KB),2.23,1.79,2.54,1144.26,2.00,2.07,2.11,2.17,2.24,2.30,2.35,2.39,2.46,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2327.67,1962.66,2549.40,1191769.39,1969.65,1980.82,1992.00,2177.15,2384.89,2508.01,2520.78,2526.97,2538.81,198.14
HTTP Receiving (ms),1991.91,1877.82,2432.01,1019859.06,1890.58,1896.79,1901.75,1910.75,1917.98,2154.14,2186.19,2194.84,2398.91,124.54
HTTP Sending (ms),0.42,0.08,2.93,214.94,0.10,0.14,0.19,0.29,0.38,0.46,0.52,0.77,2.06,0.31
HTTP Total Time (ms),2327.67,1962.66,2549.40,1191769.39,1969.65,1980.82,1992.00,2177.15,2384.89,2508.01,2520.78,2526.97,2538.81,198.14
HTTP Waiting (TTFB) (ms),335.34,56.61,606.74,171695.40,72.96,80.56,87.18,200.60,323.78,415.98,591.73,597.88,603.88,168.50
Input Sequence Length (tokens),512.00,512.00,512.00,262144.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),8.29,0.00,414.17,1011413.04,0.00,0.35,3.28,5.54,7.78,10.08,12.93,15.07,20.53,9.85
Inter Token Latency (ms),7.90,7.36,27.68,4044.50,7.39,7.41,7.46,7.49,7.58,8.44,8.62,8.71,9.63,1.04
OSL Mismatch Diff % (%),-1.47,-72.66,0.00,-750.78,-23.01,-3.12,-1.95,-1.17,-0.39,0.00,0.00,0.00,0.00,5.66
