Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),638.18,0.00,4759.37,,,,,,648.09,,674.36,686.76,887.89,201.03
Active Decode Throughput Per User (tokens/sec/user),160.19,0.00,1189.84,,,,,,162.04,,168.62,171.74,221.97,49.70
Active Prefill Throughput (tokens/sec),28646.88,4959.60,36897.24,,,,,,31846.50,,35654.41,35867.05,36897.24,7832.85
Active Prefill Throughput Per User (tokens/sec/user),7881.41,4959.60,9316.23,,,,,,8358.08,,8948.55,9027.68,9224.31,1141.46
Active Total Throughput (tokens/sec),1867.75,158.25,36897.24,,,,,,648.97,,655.12,655.12,34442.08,5964.32
Credit-to-Start Latency (ms),4.27,3.34,8.65,273.49,3.50,3.77,3.89,3.99,4.08,4.33,4.58,5.11,7.54,0.76
Decode Duration (ms),1544.15,522.27,1569.69,98825.59,1169.08,1553.75,1557.13,1558.77,1560.71,1562.03,1563.68,1564.75,1566.67,128.78
E2E Output Token Throughput (tokens/sec/user),155.91,137.31,158.27,9978.54,143.00,153.01,153.48,155.11,156.75,157.82,158.06,158.17,158.22,3.18
Effective Concurrency,3.98,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.26
Effective Decode Concurrency,3.82,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.82
Effective Decode Throughput (tokens/sec),611.65,0.00,4759.37,,,,,,647.22,,673.56,685.91,877.18,234.44
Effective Decode Throughput Per User (tokens/sec/user),153.53,0.00,1189.84,,,,,,161.83,,168.43,171.51,219.30,58.22
Effective Latency (CO-aware) (ms),1630.02,1621.42,1661.15,104321.41,1621.50,1622.33,1622.49,1623.60,1626.51,1635.88,1637.84,1653.50,1661.03,9.25
Effective Prefill Concurrency,0.16,0.00,4.00,,,,,,0.00,,0.00,0.00,4.00,0.77
Effective Prefill Throughput (tokens/sec),1252.58,0.00,36897.24,,,,,,0.00,,0.00,0.00,34442.08,6082.46
Effective Prefill Throughput Per User (tokens/sec/user),344.61,0.00,9316.23,,,,,,0.00,,0.00,0.00,8771.71,1629.19
Effective Total Throughput (tokens/sec),1864.24,0.00,36897.24,,,,,,648.97,,655.12,655.12,34442.08,5959.26
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.62,255.00,256.00,16360.00,255.00,255.00,255.00,255.00,256.00,256.00,256.00,256.00,256.00,0.48
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
