Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),300.78,0.00,5680.81,,,,,,302.71,,323.05,332.09,376.78,31.34
Active Decode Throughput Per User (tokens/sec/user),150.80,0.00,2840.40,,,,,,151.43,,161.75,166.45,195.96,15.74
Active Prefill Throughput (tokens/sec),148551.86,67983.85,177644.12,,,,,,149051.24,,172793.39,174473.12,177644.12,24745.93
Active Prefill Throughput Per User (tokens/sec/user),77348.90,67983.85,88822.06,,,,,,75022.96,,86396.70,87236.56,88822.06,5568.68
Active Total Throughput (tokens/sec),8376.01,145.01,177644.12,,,,,,302.55,,304.80,85465.04,171198.95,34135.98
Credit-to-Start Latency (ms),4.44,3.36,7.76,284.15,3.70,4.12,4.16,4.22,4.31,4.46,4.84,5.38,6.47,0.54
Decode Duration (ms),1673.82,1667.83,1678.21,107124.29,1667.94,1669.21,1669.66,1672.17,1674.21,1676.24,1677.45,1677.80,1678.07,2.77
E2E Output Token Throughput (tokens/sec/user),143.50,122.67,146.52,9184.05,132.26,141.45,142.19,142.90,144.23,144.75,145.38,145.50,146.13,3.00
Effective Concurrency,1.99,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.13
Effective Decode Concurrency,1.89,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.46
Effective Decode Throughput (tokens/sec),284.18,0.00,5680.81,,,,,,301.72,,322.32,331.26,374.34,75.15
Effective Decode Throughput Per User (tokens/sec/user),142.47,0.00,2840.40,,,,,,150.91,,161.33,166.01,193.91,37.69
Effective Latency (CO-aware) (ms),1771.77,1752.03,1780.08,113393.10,1756.38,1762.00,1765.35,1766.59,1773.60,1775.69,1778.49,1779.19,1779.88,5.77
Effective Prefill Concurrency,0.10,0.00,2.00,,,,,,0.00,,0.00,1.00,2.00,0.44
Effective Prefill Throughput (tokens/sec),8069.18,0.00,177644.12,,,,,,0.00,,0.00,85048.46,171198.95,34159.09
Effective Prefill Throughput Per User (tokens/sec/user),4201.51,0.00,88822.06,,,,,,0.00,,0.00,72520.80,85599.48,17578.80
Effective Total Throughput (tokens/sec),8353.36,0.00,177644.12,,,,,,302.55,,304.80,85048.46,171198.95,34092.56
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,254.91,219.00,257.00,16314.00,235.38,252.15,253.30,255.00,256.00,257.00,257.00,257.00,257.00,4.94
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),78.74,67.53,79.56,5039.47,72.69,77.93,78.33,78.67,79.06,79.31,79.42,79.45,79.54,1.53
