Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),634.15,0.00,6408.72,,,,,,649.39,,696.38,718.36,789.47,100.32
Active Decode Throughput Per User (tokens/sec/user),161.82,0.00,2136.24,,,,,,162.74,,175.10,180.92,208.49,19.42
Active Prefill Throughput (tokens/sec),22709.14,7361.98,40783.60,,,,,,26547.20,,38249.20,39627.92,40783.60,11075.33
Active Prefill Throughput Per User (tokens/sec/user),9621.13,7361.98,10739.24,,,,,,9818.79,,10195.90,10266.97,10677.89,641.59
Active Total Throughput (tokens/sec),1890.32,159.81,40783.60,,,,,,651.48,,655.47,9712.65,30943.53,5726.45
Credit-to-Start Latency (ms),4.55,2.90,8.62,291.00,2.98,3.76,3.98,4.16,4.43,4.68,5.06,5.57,8.02,0.84
Decode Duration (ms),1548.97,1353.51,1569.78,99134.33,1466.14,1533.07,1534.26,1539.56,1556.16,1561.19,1565.27,1566.93,1568.66,27.23
E2E Output Token Throughput (tokens/sec/user),158.07,151.62,161.73,10116.55,152.70,154.52,155.63,156.95,158.11,159.47,160.72,161.23,161.72,2.07
Effective Concurrency,3.97,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.23
Effective Decode Concurrency,3.84,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.68
Effective Decode Throughput (tokens/sec),623.67,0.00,6408.72,,,,,,648.74,,695.89,717.57,787.81,128.20
Effective Decode Throughput Per User (tokens/sec/user),159.14,0.00,2136.24,,,,,,162.59,,174.91,180.79,207.67,28.23
Effective Latency (CO-aware) (ms),1610.86,1588.37,1631.17,103094.74,1588.99,1591.62,1593.70,1600.52,1612.20,1619.65,1624.85,1626.47,1630.75,11.68
Effective Prefill Concurrency,0.13,0.00,4.00,,,,,,0.00,,0.00,1.00,4.00,0.61
Effective Prefill Throughput (tokens/sec),1265.88,0.00,40783.60,,,,,,0.00,,0.00,9340.86,30943.53,5829.43
Effective Prefill Throughput Per User (tokens/sec/user),536.31,0.00,10739.24,,,,,,0.00,,0.00,8849.07,10086.95,2212.52
Effective Total Throughput (tokens/sec),1889.55,0.00,40783.60,,,,,,651.48,,655.47,9712.65,30943.53,5725.40
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,254.69,223.00,257.00,16300.00,238.12,252.00,252.00,254.00,255.00,257.00,257.00,257.00,257.00,4.52
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),78.75,68.96,79.49,5039.90,73.40,77.75,77.85,78.54,79.15,79.39,79.47,79.47,79.48,1.40
HTTP Data Sent (KB),2.21,2.01,2.46,141.56,2.04,2.07,2.10,2.15,2.21,2.27,2.32,2.34,2.41,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
