Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2415.80,0.00,10096.39,,,,,,2487.33,,2738.49,2849.74,3145.64,506.62
Active Decode Throughput Per User (tokens/sec/user),152.34,0.00,1086.10,,,,,,155.65,,171.44,178.83,200.64,29.28
Active Prefill Throughput (tokens/sec),57343.47,2810.69,171859.86,,,,,,42715.01,,138658.42,150949.08,171859.86,43385.26
Active Prefill Throughput Per User (tokens/sec/user),4825.81,2753.81,11183.87,,,,,,3227.14,,9434.32,9988.01,10741.24,2663.24
Active Total Throughput (tokens/sec),7039.55,158.64,171859.86,,,,,,2508.64,,2525.83,40652.61,138658.42,19568.16
Credit-to-Start Latency (ms),4.85,1.47,16.70,620.96,1.89,2.18,2.64,4.20,4.56,5.05,6.71,8.85,10.26,1.92
Decode Duration (ms),1614.79,1567.12,1707.27,206693.48,1573.17,1597.90,1601.70,1605.62,1611.74,1614.04,1616.05,1700.31,1705.54,24.19
E2E Output Token Throughput (tokens/sec/user),147.32,136.52,155.33,18857.21,137.43,139.65,140.29,142.39,144.68,153.29,154.30,155.07,155.30,5.93
Effective Concurrency,15.89,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,1.02
Effective Decode Concurrency,14.87,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,3.88
Effective Decode Throughput (tokens/sec),2325.45,0.00,10096.39,,,,,,2479.25,,2733.73,2842.12,3124.41,676.15
Effective Decode Throughput Per User (tokens/sec/user),146.64,0.00,1086.10,,,,,,155.05,,171.13,178.63,200.31,40.75
Effective Latency (CO-aware) (ms),1732.44,1643.27,1812.50,221752.54,1649.58,1653.58,1655.67,1666.81,1731.25,1799.76,1804.85,1809.55,1812.33,66.48
Effective Prefill Concurrency,1.02,0.00,16.00,,,,,,0.00,,0.00,14.00,16.00,3.68
Effective Prefill Throughput (tokens/sec),4709.69,0.00,171859.86,,,,,,0.00,,0.00,40354.14,138658.42,20061.98
Effective Prefill Throughput Per User (tokens/sec/user),396.35,0.00,11183.87,,,,,,0.00,,0.00,3164.16,9060.80,1529.10
Effective Total Throughput (tokens/sec),7035.14,0.00,171859.86,,,,,,2508.64,,2525.83,40652.61,138658.42,19562.83
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,254.94,241.00,257.00,32632.00,245.54,249.70,252.00,254.00,256.00,257.00,257.00,257.00,257.00,2.65
HTTP Chunks Sent,1.00,1.00,1.00,128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),78.90,75.67,79.58,10099.24,76.26,77.30,78.12,78.61,79.20,79.38,79.46,79.48,79.54,0.72
HTTP Data Sent (KB),2.22,1.90,2.46,283.81,1.97,2.06,2.10,2.15,2.22,2.29,2.33,2.37,2.46,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1727.34,1641.28,1807.54,221099.01,1647.00,1651.21,1652.92,1661.52,1721.77,1795.04,1798.95,1802.14,1807.25,65.91
HTTP Receiving (ms),1617.10,1569.61,1711.57,206988.53,1578.10,1602.23,1604.27,1608.33,1613.95,1616.47,1617.70,1701.11,1706.36,23.76
HTTP Sending (ms),0.61,0.24,6.14,77.93,0.26,0.36,0.37,0.39,0.45,0.55,0.85,1.69,2.13,0.61
HTTP Total Time (ms),1727.34,1641.28,1807.54,221099.01,1647.00,1651.21,1652.92,1661.52,1721.77,1795.04,1798.95,1802.14,1807.25,65.91
HTTP Waiting (TTFB) (ms),109.63,44.41,192.25,14032.55,45.00,45.97,47.59,52.11,86.60,176.86,181.67,185.36,191.57,59.51
Input Sequence Length (tokens),512.00,512.00,512.00,65536.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),6.37,0.00,99.87,206693.48,4.05,5.01,5.39,5.87,6.32,6.79,7.28,7.63,8.75,1.78
Inter Token Latency (ms),6.39,6.15,6.79,817.71,6.27,6.29,6.29,6.32,6.33,6.42,6.54,6.69,6.77,0.12
OSL Mismatch Diff % (%),-0.86,-6.64,0.00,-109.77,-5.75,-2.99,-2.34,-1.27,0.00,0.00,0.00,0.00,0.00,1.23
Output Sequence Length (tokens),253.80,239.00,256.00,32487.00,241.27,248.35,250.00,252.75,256.00,256.00,256.00,256.00,256.00,3.15
Output Token Count (tokens),253.80,239.00,256.00,32487.00,241.27,248.35,250.00,252.75,256.00,256.00,256.00,256.00,256.00,3.15
Output Token Throughput Per User (tokens/sec/user),156.59,147.32,162.72,20042.90,147.69,149.58,153.00,155.73,157.87,158.25,158.88,159.08,159.44,2.77
Prefill Throughput Per User (tokens/sec/user),6363.27,2653.78,11305.43,814498.37,2658.21,2745.01,2789.90,2882.18,5859.31,9698.22,10527.31,10869.24,11236.36,3298.00
Request Latency (ms),1725.30,1641.41,1804.67,220838.07,1644.64,1648.40,1649.54,1660.32,1722.41,1792.80,1796.66,1800.48,1804.12,65.58
Time to First Output Token (ms),110.50,45.29,192.93,14144.59,45.57,47.11,48.64,52.79,87.38,177.64,183.52,186.52,192.61,59.62
Time to First Token (ms),110.50,45.29,192.93,14144.59,45.57,47.11,48.64,52.79,87.38,177.64,183.52,186.52,192.61,59.62
Time to Second Token (ms),12.00,0.00,99.87,1536.57,0.00,0.00,0.00,4.64,6.00,7.95,15.15,93.70,98.44,22.59
Tokens In Flight (tokens),10030.51,0.00,12252.02,,,,,,10082.59,,11789.24,12004.50,12178.15,1382.72

Metric,Value
Benchmark Duration (sec),13.91
Input Token Throughput (tokens/sec),4709.69
OSL Mismatch Count,3.00
Output Token Throughput (tokens/sec),2334.65
Request Count,128.00
Request Throughput (requests/sec),9.20
Total Input Sequence Length (tokens),65536.00
Total Output Sequence Length (tokens),32487.00
Total Output Tokens (tokens),32487.00
Total Token Throughput (tokens/sec),7044.34
