Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),923.70,3.10,6085.68,,,,,,149.57,,2475.96,2501.47,2628.85,1096.26
Active Decode Throughput Per User (tokens/sec/user),14.93,1.55,138.00,,,,,,2.78,,38.71,39.13,43.44,17.11
Active Prefill Throughput (tokens/sec),39187.99,643.79,145664.93,,,,,,39986.55,,48627.05,59654.44,112189.85,15299.25
Active Prefill Throughput Per User (tokens/sec/user),3662.22,643.79,23905.68,,,,,,3641.75,,4204.11,5026.23,9989.25,1807.90
Active Total Throughput (tokens/sec),27126.23,40.56,145664.93,,,,,,40739.24,,43791.14,53069.49,86086.42,22140.64
Credit-to-Start Latency (ms),4.30,1.51,15.86,2204.01,1.85,2.46,2.81,4.19,4.34,4.53,4.91,5.65,7.17,1.09
Decode Duration (ms),15092.44,6287.63,17232.87,7727331.69,7079.77,10432.91,14707.64,15354.27,15370.35,15720.43,16000.04,16358.38,17182.57,1789.16
E2E Output Token Throughput (tokens/sec/user),14.88,6.21,32.70,7620.82,9.79,11.22,13.22,14.29,14.54,14.65,15.20,20.45,28.76,2.92
Effective Concurrency,63.87,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,2.00
Effective Decode Concurrency,55.23,0.00,64.00,,,,,,54.00,,64.00,64.00,64.00,10.49
Effective Decode Throughput (tokens/sec),921.49,0.00,6085.68,,,,,,149.57,,2475.92,2501.35,2628.40,1095.88
Effective Decode Throughput Per User (tokens/sec/user),14.89,0.00,138.00,,,,,,2.78,,38.71,39.13,43.44,17.10
Effective Latency (CO-aware) (ms),17477.55,7833.78,26723.07,8948507.31,8896.50,12391.03,16855.43,17466.52,17521.93,17841.49,17893.88,22219.39,25646.52,2517.06
Effective Prefill Concurrency,8.64,0.00,64.00,,,,,,10.00,,12.00,26.00,58.00,10.38
Effective Prefill Throughput (tokens/sec),26203.01,0.00,145664.93,,,,,,39839.46,,42938.43,52199.42,85996.54,22287.99
Effective Prefill Throughput Per User (tokens/sec/user),2448.74,0.00,23905.68,,,,,,3334.63,,4064.99,4682.19,9871.52,2270.90
Effective Total Throughput (tokens/sec),27124.50,0.00,145664.93,,,,,,40739.24,,43791.14,53069.49,86086.42,22141.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.00,255.00,256.00,131071.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.04
HTTP Chunks Sent,1.00,1.00,1.00,512.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,512.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),64.51,63.71,64.91,33028.03,64.17,64.30,64.36,64.45,64.52,64.59,64.64,64.67,64.72,0.12
HTTP Data Sent (KB),29.86,28.16,31.48,15289.73,28.40,28.94,29.23,29.58,29.86,30.18,30.47,30.74,31.15,0.53
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),17473.04,7829.38,26718.43,8946198.59,8891.93,12386.57,16850.74,17461.49,17517.05,17836.58,17889.33,22217.40,25643.73,2517.37
HTTP Receiving (ms),15110.45,6287.65,17232.87,7736549.99,7079.78,10586.42,15044.15,15354.68,15371.10,15720.49,16000.04,16358.39,17182.57,1775.40
HTTP Sending (ms),0.44,0.17,2.40,226.70,0.17,0.36,0.36,0.37,0.38,0.41,0.57,0.74,1.43,0.22
HTTP Total Time (ms),17473.04,7829.38,26718.43,8946198.59,8891.93,12386.57,16850.74,17461.49,17517.05,17836.58,17889.33,22217.40,25643.73,2517.37
HTTP Waiting (TTFB) (ms),2362.15,299.30,11135.14,1209421.90,324.93,1147.51,1503.56,1791.32,1846.59,2150.66,2618.18,6951.95,10348.63,1782.31
Input Sequence Length (tokens),7168.84,7167.00,7169.00,3670444.00,7168.00,7168.00,7168.00,7169.00,7169.00,7169.00,7169.00,7169.00,7169.00,0.39
Inter Chunk Latency (ms),59.75,0.00,1096.24,7727331.69,15.33,24.65,25.23,25.57,25.90,26.25,178.45,360.25,365.47,100.85
Inter Token Latency (ms),60.00,24.66,142.84,30719.81,27.79,41.97,58.84,60.25,61.47,62.28,63.76,65.78,68.69,8.20
OSL Mismatch Diff % (%),-1.13,-56.64,0.39,-578.12,-14.98,-3.12,-2.34,-1.17,-0.39,0.00,0.00,0.00,0.00,3.41
Output Sequence Length (tokens),253.11,111.00,257.00,129592.00,217.65,248.00,250.00,253.00,255.00,256.00,256.00,256.00,256.00,8.74
Output Token Count (tokens),253.11,111.00,257.00,129592.00,217.65,248.00,250.00,253.00,255.00,256.00,256.00,256.00,256.00,8.74
Output Token Throughput Per User (tokens/sec/user),17.12,7.00,40.56,8765.03,14.56,15.20,15.68,16.06,16.27,16.60,17.00,23.83,35.98,3.64
Prefill Throughput Per User (tokens/sec/user),4092.94,643.79,23905.67,2095585.68,692.71,1031.81,2742.16,3332.28,3882.07,4000.71,4766.25,6244.01,22009.38,2954.41
Request Latency (ms),17455.25,7829.55,26718.56,8937088.43,8892.11,12322.58,16501.49,17367.20,17516.86,17835.23,17881.86,22217.51,25643.93,2526.97
Time to First Output Token (ms),2362.81,299.89,11135.60,1209756.75,325.72,1148.08,1504.12,1791.88,1847.16,2151.30,2618.99,6952.32,10349.27,1782.30
Time to First Token (ms),2362.81,299.89,11135.60,1209756.75,325.72,1148.08,1504.12,1791.88,1847.16,2151.30,2618.99,6952.32,10349.27,1782.30
Time to Second Token (ms),358.39,12.44,1081.66,183493.19,14.88,192.74,345.20,356.51,360.04,362.22,366.14,375.77,722.59,104.73
Tokens In Flight (tokens),464206.04,0.00,474006.04,,,,,,464754.51,,471117.49,472217.58,473540.55,14987.14

Metric,Value
Benchmark Duration (sec),140.07
Input Token Throughput (tokens/sec),26203.01
OSL Mismatch Count,13.00
Output Token Throughput (tokens/sec),925.15
Request Count,512.00
Request Throughput (requests/sec),3.66
Total Input Sequence Length (tokens),3670444.00
Total Output Sequence Length (tokens),129592.00
Total Output Tokens (tokens),129592.00
Total Token Throughput (tokens/sec),27128.15


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
