Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),5242.18,0.00,56146.95,,,,,,5959.65,,7572.99,8611.92,16111.31,3309.46
Active Decode Throughput Per User (tokens/sec/user),83.23,0.00,877.30,,,,,,93.22,,118.68,135.39,252.15,50.34
Active Prefill Throughput (tokens/sec),42074.55,417.04,364930.23,,,,,,28698.96,,68992.47,187050.43,355351.41,57829.90
Active Prefill Throughput Per User (tokens/sec/user),1009.90,417.04,6241.34,,,,,,625.21,,2850.28,3712.76,5640.50,1027.20
Active Total Throughput (tokens/sec),15637.70,96.56,364930.23,,,,,,6665.44,,31250.91,53059.87,193500.36,32859.63
Credit-to-Start Latency (ms),6.59,0.46,23.82,3373.28,0.92,1.15,1.39,3.54,5.45,9.30,13.01,14.53,17.27,4.20
Decode Duration (ms),2600.20,389.54,3443.60,1331300.18,1978.54,2340.99,2352.25,2364.97,2389.39,2877.18,3196.55,3226.92,3392.03,354.68
E2E Output Token Throughput (tokens/sec/user),84.09,36.63,105.41,43052.98,65.60,70.04,70.71,71.50,76.39,100.85,103.07,103.93,104.63,14.38
Effective Concurrency,63.74,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,2.84
Effective Decode Concurrency,54.12,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,19.62
Effective Decode Throughput (tokens/sec),5132.53,0.00,56146.95,,,,,,5924.77,,7551.11,8574.10,16063.61,3359.50
Effective Decode Throughput Per User (tokens/sec/user),81.49,0.00,877.30,,,,,,92.69,,118.29,134.75,251.31,51.21
Effective Latency (CO-aware) (ms),3114.34,2442.52,3636.29,1594540.84,2459.62,2467.37,2502.48,2527.48,3294.60,3581.96,3608.91,3617.85,3625.46,493.03
Effective Prefill Concurrency,9.62,0.00,64.00,,,,,,0.00,,48.00,63.00,64.00,19.33
Effective Prefill Throughput (tokens/sec),10501.08,0.00,364930.23,,,,,,0.00,,30010.13,52841.15,193397.44,34150.17
Effective Prefill Throughput Per User (tokens/sec/user),252.05,0.00,6241.34,,,,,,0.00,,784.14,959.25,3723.04,674.06
Effective Total Throughput (tokens/sec),15633.60,0.00,364930.23,,,,,,6665.44,,31250.91,53059.87,193500.36,32856.30
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,152.88,25.00,180.00,78274.00,85.65,131.00,134.00,141.00,159.00,165.00,169.00,171.00,174.00,17.18
HTTP Chunks Sent,1.00,1.00,1.00,512.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,512.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),49.69,7.80,57.81,25441.43,27.67,42.75,43.92,45.61,51.83,53.74,54.91,55.59,56.89,5.62
HTTP Data Sent (KB),2.23,1.79,2.54,1144.26,2.00,2.07,2.11,2.17,2.24,2.30,2.35,2.39,2.46,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3107.55,2441.25,3620.44,1591066.47,2456.45,2466.13,2496.36,2522.34,3290.07,3575.43,3599.28,3605.51,3613.47,491.18
HTTP Receiving (ms),2638.84,2311.61,3481.51,1351088.43,2349.41,2364.99,2369.08,2378.54,2408.50,2923.48,3218.60,3240.67,3410.02,316.90
HTTP Sending (ms),0.44,0.10,2.64,223.64,0.13,0.20,0.24,0.31,0.40,0.46,0.54,0.78,1.94,0.29
HTTP Total Time (ms),3107.55,2441.25,3620.44,1591066.47,2456.45,2466.13,2496.36,2522.34,3290.07,3575.43,3599.28,3605.51,3613.47,491.18
HTTP Waiting (TTFB) (ms),468.27,53.10,1225.26,239754.40,80.21,89.33,95.62,145.68,348.81,655.01,1156.24,1174.09,1198.84,372.04
Input Sequence Length (tokens),512.00,512.00,512.00,262144.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),16.48,0.00,1219.53,1331300.18,0.00,0.14,0.89,8.27,13.88,20.56,28.36,34.16,51.12,23.03
Inter Token Latency (ms),10.41,9.03,20.53,5328.08,9.16,9.23,9.26,9.34,9.55,11.46,12.64,12.80,13.52,1.36
OSL Mismatch Diff % (%),-1.86,-83.59,0.00,-950.78,-35.95,-3.91,-2.34,-1.17,-0.39,0.00,0.00,0.00,0.00,7.06
Output Sequence Length (tokens),251.25,42.00,256.00,128638.00,163.98,246.00,250.00,253.00,255.00,256.00,256.00,256.00,256.00,18.08
Output Token Count (tokens),251.25,42.00,256.00,128638.00,163.98,246.00,250.00,253.00,255.00,256.00,256.00,256.00,256.00,18.08
Output Token Throughput Per User (tokens/sec/user),97.55,48.71,110.79,49944.95,73.95,78.12,79.12,87.25,104.70,107.10,108.02,108.37,109.20,11.26
Prefill Throughput Per User (tokens/sec/user),2261.91,417.04,9578.83,1158095.75,426.56,435.94,442.55,781.01,1465.35,3496.71,5332.42,5711.21,6363.27,1809.63
Request Latency (ms),3069.11,528.59,3607.22,1571383.78,2218.52,2449.98,2463.85,2502.70,3050.22,3556.30,3583.68,3592.90,3603.43,523.00
Time to First Output Token (ms),468.91,53.45,1227.69,240083.60,80.46,89.65,96.02,146.42,349.41,655.57,1156.92,1174.49,1200.29,372.14
Time to First Token (ms),468.91,53.45,1227.69,240083.60,80.46,89.65,96.02,146.42,349.41,655.57,1156.92,1174.49,1200.29,372.14
Time to Second Token (ms),138.06,0.00,564.07,70684.30,0.17,5.48,9.37,16.67,38.32,272.05,294.62,302.15,308.66,130.68
Tokens In Flight (tokens),38831.19,0.00,48914.53,,,,,,38302.71,,46750.35,47777.86,48571.65,5521.48

Metric,Value
Benchmark Duration (sec),24.94
Input Token Throughput (tokens/sec),10501.08
OSL Mismatch Count,20.00
Output Token Throughput (tokens/sec),5153.04
Request Count,512.00
Request Throughput (requests/sec),20.51
Total Input Sequence Length (tokens),262144.00
Total Output Sequence Length (tokens),128638.00
Total Output Tokens (tokens),128638.00
Total Token Throughput (tokens/sec),15654.11
