Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1696.87,0.00,5388.74,,,,,,2457.85,,3071.70,3175.46,3393.35,1301.86
Active Decode Throughput Per User (tokens/sec/user),56.27,0.00,234.29,,,,,,79.99,,96.89,100.49,111.58,40.66
Active Prefill Throughput (tokens/sec),97358.00,4062.24,713863.25,,,,,,75133.48,,147406.46,248961.44,713863.25,104901.78
Active Prefill Throughput Per User (tokens/sec/user),9061.41,3791.62,40390.85,,,,,,6875.45,,18572.88,21677.70,30176.49,5811.79
Active Total Throughput (tokens/sec),49507.96,98.69,713863.25,,,,,,2956.24,,115707.66,148138.63,438148.55,87716.91
Credit-to-Start Latency (ms),4.91,1.66,11.08,1257.09,2.00,2.70,3.03,4.21,4.50,5.89,6.85,7.32,8.91,1.46
Decode Duration (ms),3897.04,1973.85,6265.00,997641.28,2592.89,2680.74,2688.68,2826.90,3796.98,4824.26,5293.24,5566.69,5916.12,1032.16
E2E Output Token Throughput (tokens/sec/user),57.06,30.49,85.88,14606.34,37.92,40.44,40.98,43.77,49.58,70.93,82.48,84.11,84.80,15.41
Effective Concurrency,31.69,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,2.44
Effective Decode Concurrency,26.09,0.00,32.00,,,,,,31.00,,32.00,32.00,32.00,7.75
Effective Decode Throughput (tokens/sec),1679.40,0.00,5388.74,,,,,,2393.92,,3070.57,3174.21,3390.65,1306.41
Effective Decode Throughput Per User (tokens/sec/user),55.69,0.00,234.29,,,,,,79.35,,96.85,100.40,111.42,40.85
Effective Latency (CO-aware) (ms),4755.24,2985.46,6529.56,1217341.01,3018.58,3031.20,3060.24,3570.12,5146.45,5812.22,6208.36,6246.70,6525.78,1154.04
Effective Prefill Concurrency,5.60,0.00,32.00,,,,,,0.00,,16.00,19.00,30.00,7.52
Effective Prefill Throughput (tokens/sec),47818.03,0.00,713863.25,,,,,,0.00,,114828.42,147406.46,438148.55,88169.04
Effective Prefill Throughput Per User (tokens/sec/user),4450.57,0.00,40390.85,,,,,,0.00,,11440.84,18572.88,30072.25,6091.85
Effective Total Throughput (tokens/sec),49497.43,0.00,713863.25,,,,,,2956.24,,115707.66,148138.63,438148.55,87710.55
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,254.43,187.00,257.00,65134.00,220.75,248.75,251.50,254.00,256.00,257.00,257.00,257.00,257.00,6.75
HTTP Chunks Sent,1.00,1.00,1.00,256.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,256.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),78.60,57.75,79.62,20121.12,68.17,76.78,77.70,78.58,79.15,79.34,79.42,79.47,79.55,2.08
HTTP Data Sent (KB),29.83,28.17,31.19,7637.60,28.34,28.92,29.19,29.56,29.85,30.13,30.41,30.73,31.16,0.53
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4750.09,2980.97,6525.24,1216024.25,3014.62,3028.18,3057.20,3563.26,5142.08,5806.51,6204.09,6242.35,6521.21,1153.63
HTTP Receiving (ms),3910.82,2583.92,6268.23,1001170.17,2642.82,2689.47,2692.50,2842.22,3807.40,4826.15,5296.20,5567.53,5919.56,1023.74
HTTP Sending (ms),0.52,0.27,2.12,132.22,0.30,0.34,0.35,0.37,0.41,0.51,0.71,1.31,1.68,0.29
HTTP Total Time (ms),4750.09,2980.97,6525.24,1216024.25,3014.62,3028.18,3057.20,3563.26,5142.08,5806.51,6204.09,6242.35,6521.21,1153.63
HTTP Waiting (TTFB) (ms),838.76,90.51,2456.63,214721.86,140.98,234.02,263.62,425.32,769.49,1077.67,1558.10,1871.02,2191.83,500.58
Input Sequence Length (tokens),7168.81,7167.00,7169.00,1835216.00,7167.55,7168.00,7168.00,7169.00,7169.00,7169.00,7169.00,7169.00,7169.00,0.42
Inter Chunk Latency (ms),15.44,0.00,686.69,997641.28,7.06,8.36,9.00,9.94,10.94,12.26,13.73,15.21,190.20,34.23
Inter Token Latency (ms),15.49,10.12,25.95,3964.25,10.38,10.55,10.65,11.17,15.12,19.19,21.13,22.09,23.35,4.11
OSL Mismatch Diff % (%),-1.26,-30.47,0.39,-322.66,-14.73,-4.00,-2.34,-1.17,-0.39,0.00,0.00,0.00,0.00,3.24
Output Sequence Length (tokens),252.77,178.00,257.00,64710.00,218.30,245.75,250.00,253.00,255.00,256.00,256.00,256.00,256.00,8.30
Output Token Count (tokens),252.77,178.00,257.00,64710.00,218.30,245.75,250.00,253.00,255.00,256.00,256.00,256.00,256.00,8.30
Output Token Throughput Per User (tokens/sec/user),69.28,38.54,98.78,17736.16,42.83,45.26,47.33,52.10,66.13,89.49,93.86,94.75,96.34,18.09
Prefill Throughput Per User (tokens/sec/user),13047.84,2917.54,78592.37,3340247.07,3269.80,3830.37,4599.20,6648.65,9306.11,16816.46,27114.18,30476.29,55197.75,10511.31
Request Latency (ms),4736.56,2980.86,6524.62,1212558.90,3008.49,3019.51,3048.96,3552.65,5142.03,5804.74,6202.62,6239.66,6518.35,1159.93
Time to First Output Token (ms),839.52,91.22,2457.20,214917.62,141.63,235.23,264.41,426.31,770.25,1078.23,1558.75,1871.62,2192.49,500.60
Time to First Token (ms),839.52,91.22,2457.20,214917.62,141.63,235.23,264.41,426.31,770.25,1078.23,1558.75,1871.62,2192.49,500.60
Time to Second Token (ms),166.51,7.78,642.86,42625.74,8.85,9.63,10.50,13.08,161.94,331.78,345.51,352.12,430.66,154.56
Tokens In Flight (tokens),230177.62,0.00,237376.37,,,,,,231981.04,,235551.20,236068.98,236830.53,17708.42

Metric,Value
Benchmark Duration (sec),38.37
Input Token Throughput (tokens/sec),47818.03
OSL Mismatch Count,11.00
Output Token Throughput (tokens/sec),1686.07
Request Count,256.00
Request Throughput (requests/sec),6.67
Total Input Sequence Length (tokens),1835216.00
Total Output Sequence Length (tokens),64710.00
Total Output Tokens (tokens),64710.00
Total Token Throughput (tokens/sec),49504.10
