Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),3678.67,0.00,20157.27,,,,,,4208.14,,4682.11,5111.21,7128.63,1651.27
Active Decode Throughput Per User (tokens/sec/user),116.58,0.00,629.91,,,,,,131.54,,146.37,161.27,223.82,49.32
Active Prefill Throughput (tokens/sec),35865.89,753.66,133126.42,,,,,,30440.36,,85971.02,94425.10,133126.42,28632.54
Active Prefill Throughput Per User (tokens/sec/user),1476.40,753.66,6082.47,,,,,,1019.09,,2950.78,3058.92,4160.20,965.23
Active Total Throughput (tokens/sec),10551.26,134.53,133126.42,,,,,,4217.99,,30547.04,34273.94,94425.10,17993.89
Credit-to-Start Latency (ms),4.58,1.06,14.71,1171.65,1.23,1.44,2.43,3.83,4.10,5.40,6.51,7.43,13.09,1.92
Decode Duration (ms),1947.63,1172.02,2390.19,498592.92,1632.06,1861.67,1872.59,1879.39,1896.08,1931.34,2148.18,2148.44,2366.42,142.64
E2E Output Token Throughput (tokens/sec/user),111.34,71.93,128.62,28502.23,96.24,98.06,98.64,99.40,101.14,123.71,124.97,126.54,128.30,12.55
Effective Concurrency,31.84,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,1.57
Effective Decode Concurrency,27.01,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,10.67
Effective Decode Throughput (tokens/sec),3475.75,0.00,20157.27,,,,,,4182.02,,4659.19,4986.94,7111.25,1811.51
Effective Decode Throughput Per User (tokens/sec/user),110.15,0.00,629.91,,,,,,130.74,,145.71,156.23,222.83,54.83
Effective Latency (CO-aware) (ms),2310.01,1982.74,2579.57,591362.37,1991.78,2006.56,2050.95,2062.46,2319.67,2559.91,2578.66,2579.13,2579.48,253.10
Effective Prefill Concurrency,4.83,0.00,32.00,,,,,,0.00,,31.00,31.00,32.00,10.50
Effective Prefill Throughput (tokens/sec),7070.82,0.00,133126.42,,,,,,0.00,,30440.36,34273.94,94425.10,19110.98
Effective Prefill Throughput Per User (tokens/sec/user),291.07,0.00,6082.47,,,,,,0.00,,1019.09,2554.64,3058.92,727.11
Effective Total Throughput (tokens/sec),10546.57,0.00,133126.42,,,,,,4217.99,,30547.04,34273.94,94425.10,17991.26
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,253.50,250.00,255.00,64895.00,250.00,250.00,250.00,252.00,254.00,255.00,255.00,255.00,255.00,1.66
HTTP Chunks Sent,1.00,1.00,1.00,256.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,256.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),63.90,62.59,64.50,16359.64,62.88,63.06,63.14,63.63,64.04,64.25,64.34,64.37,64.42,0.43
