Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),161.14,0.00,2349.51,,,,,,164.48,,173.58,177.51,197.37,26.05
Active Decode Throughput Per User (tokens/sec/user),161.14,0.00,2349.51,,,,,,164.48,,173.58,177.51,197.37,26.05
Active Prefill Throughput (tokens/sec),9318.45,8604.15,9668.98,,,,,,9349.03,,9549.55,9588.42,9668.98,204.28
Active Prefill Throughput Per User (tokens/sec/user),9318.45,8604.15,9668.98,,,,,,9349.03,,9549.55,9588.42,9668.98,204.28
Active Total Throughput (tokens/sec),475.95,88.70,9668.98,,,,,,165.00,,165.44,165.58,9427.69,1668.92
Credit-to-Start Latency (ms),4.29,2.77,7.76,274.87,3.15,3.90,3.99,4.08,4.17,4.22,4.73,5.40,6.96,0.65
Decode Duration (ms),1519.29,851.80,1545.97,97234.41,980.17,1538.11,1539.81,1540.88,1542.63,1544.34,1545.13,1545.24,1545.69,110.38
E2E Output Token Throughput (tokens/sec/user),158.58,124.74,162.81,10149.05,142.17,155.60,156.75,158.35,159.97,160.20,160.38,160.54,161.48,4.58
Effective Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.08
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.20
Effective Decode Throughput (tokens/sec),154.72,0.00,2349.51,,,,,,164.17,,173.35,177.30,196.52,40.56
Effective Decode Throughput Per User (tokens/sec/user),154.72,0.00,2349.51,,,,,,164.17,,173.35,177.30,196.52,40.56
Effective Latency (CO-aware) (ms),1602.55,1598.37,1609.39,102562.93,1598.54,1599.08,1599.77,1600.84,1602.64,1604.01,1605.01,1605.95,1607.77,2.22
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.18
Effective Prefill Throughput (tokens/sec),318.54,0.00,9668.98,,,,,,0.00,,0.00,0.00,9427.69,1693.58
Effective Prefill Throughput Per User (tokens/sec/user),318.54,0.00,9668.98,,,,,,0.00,,0.00,0.00,9427.69,1693.58
Effective Total Throughput (tokens/sec),473.25,0.00,9668.98,,,,,,164.99,,165.44,165.58,9427.69,1664.57
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,251.41,141.00,257.00,16090.00,164.31,222.95,251.60,255.00,257.00,257.00,257.00,257.00,257.00,18.57
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.66,43.50,79.52,4970.16,50.66,68.59,77.74,78.75,79.25,79.37,79.45,79.47,79.50,5.76
HTTP Data Sent (KB),2.21,2.01,2.46,141.56,2.04,2.07,2.10,2.15,2.21,2.27,2.32,2.34,2.41,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1598.05,1593.48,1602.52,102275.35,1594.12,1594.76,1595.42,1596.39,1598.20,1599.34,1600.52,1600.66,1602.42,1.99
HTTP Receiving (ms),1543.32,1539.05,1546.79,98772.41,1539.25,1540.29,1540.75,1541.67,1543.49,1544.90,1545.51,1546.21,1546.57,1.94
HTTP Sending (ms),0.41,0.35,1.25,26.25,0.35,0.35,0.35,0.36,0.37,0.39,0.43,0.60,1.13,0.15
HTTP Total Time (ms),1598.05,1593.48,1602.52,102275.35,1594.12,1594.76,1595.42,1596.39,1598.20,1599.34,1600.52,1600.66,1602.42,1.99
HTTP Waiting (TTFB) (ms),54.32,52.40,57.65,3476.69,52.58,52.86,53.05,53.60,54.17,54.78,55.96,56.56,57.39,1.10
Input Sequence Length (tokens),512.00,512.00,512.00,32768.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),6.09,0.43,24.16,97234.41,4.80,5.59,5.73,5.90,6.05,6.21,6.38,6.53,7.79,0.73
Inter Token Latency (ms),6.12,5.90,7.78,391.37,5.98,6.04,6.04,6.05,6.06,6.13,6.19,6.22,6.82,0.22
OSL Mismatch Diff % (%),-2.47,-46.09,0.00,-157.81,-36.74,-16.07,-2.62,-1.27,-0.20,0.00,0.00,0.00,0.00,7.52
Output Sequence Length (tokens),249.69,138.00,256.00,15980.00,161.94,214.85,249.30,252.75,255.50,256.00,256.00,256.00,256.00,19.24
Output Token Count (tokens),249.69,138.00,256.00,15980.00,161.94,214.85,249.30,252.75,255.50,256.00,256.00,256.00,256.00,19.24
Output Token Throughput Per User (tokens/sec/user),163.70,128.48,169.58,10476.54,148.19,160.69,161.63,163.20,165.03,165.24,165.49,165.61,167.19,4.72
Prefill Throughput Per User (tokens/sec/user),9322.93,8604.13,9668.98,596667.33,8764.75,8955.62,9009.90,9244.24,9355.90,9457.13,9548.94,9585.42,9637.49,201.92
Request Latency (ms),1574.23,905.43,1602.47,100750.88,1034.67,1593.13,1593.87,1595.73,1597.74,1599.14,1600.19,1600.36,1601.38,110.41
Time to First Output Token (ms),54.94,52.95,59.51,3516.47,53.13,53.41,53.62,54.14,54.72,55.39,56.83,57.17,58.43,1.22
Time to First Token (ms),54.94,52.95,59.51,3516.47,53.13,53.41,53.62,54.14,54.72,55.39,56.83,57.17,58.43,1.22
Time to Second Token (ms),4.93,3.86,11.38,315.33,3.95,4.12,4.23,4.54,4.77,4.92,5.16,5.26,10.95,1.18
Tokens In Flight (tokens),630.52,0.00,768.00,,,,,,634.00,,738.00,752.00,763.02,88.51

Metric,Value
Benchmark Duration (sec),102.86
Input Token Throughput (tokens/sec),318.54
OSL Mismatch Count,4.00
Output Token Throughput (tokens/sec),155.34
Request Count,64.00
Request Throughput (requests/sec),0.62
Total Input Sequence Length (tokens),32768.00
Total Output Sequence Length (tokens),15980.00
Total Output Tokens (tokens),15980.00
Total Token Throughput (tokens/sec),473.88
