Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),926.82,0.00,10097.72,,,,,,152.55,,2560.81,2665.22,2901.81,1103.60
Active Decode Throughput Per User (tokens/sec/user),14.96,0.00,213.97,,,,,,2.82,,40.09,41.78,45.94,17.25
Active Prefill Throughput (tokens/sec),39342.57,646.08,150078.78,,,,,,40071.40,,51228.20,59399.92,98836.24,15306.50
Active Prefill Throughput Per User (tokens/sec/user),3830.47,646.08,25662.35,,,,,,4001.38,,4234.71,5168.96,10434.03,1748.79
Active Total Throughput (tokens/sec),27158.03,40.51,150078.78,,,,,,40803.03,,43658.72,55385.03,87595.22,22219.17
Credit-to-Start Latency (ms),4.51,1.48,10.79,2308.93,2.03,2.55,3.10,4.18,4.42,4.69,5.32,6.54,8.93,1.16
Decode Duration (ms),15182.16,6290.51,17233.69,7773266.02,6950.99,10605.64,14861.27,15378.22,15694.31,15711.16,15929.41,16514.51,17181.95,1786.64
E2E Output Token Throughput (tokens/sec/user),14.93,9.55,32.03,7642.65,9.83,11.43,13.71,14.33,14.58,14.65,15.19,20.65,28.67,2.88
Effective Concurrency,63.87,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,1.93
Effective Decode Concurrency,55.59,0.00,64.00,,,,,,54.00,,64.00,64.00,64.00,10.34
Effective Decode Throughput (tokens/sec),924.74,0.00,10097.72,,,,,,152.55,,2560.79,2664.57,2901.81,1103.24
Effective Decode Throughput Per User (tokens/sec/user),14.93,0.00,213.97,,,,,,2.82,,40.08,41.77,45.92,17.24
Effective Latency (CO-aware) (ms),17459.55,8001.39,26813.35,8939290.85,8748.31,12404.99,16689.10,17463.75,17499.70,17545.41,17886.22,22145.52,25745.90,2517.88
Effective Prefill Concurrency,8.27,0.00,64.00,,,,,,10.00,,12.00,25.00,58.00,10.23
Effective Prefill Throughput (tokens/sec),26231.50,0.00,150078.78,,,,,,39933.58,,42801.73,54531.25,87500.41,22363.68
Effective Prefill Throughput Per User (tokens/sec/user),2553.95,0.00,25662.35,,,,,,3650.27,,4101.92,4594.72,9007.48,2302.01
Effective Total Throughput (tokens/sec),27156.24,0.00,150078.78,,,,,,40803.03,,43658.72,55385.03,87595.22,22219.53
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,253.21,203.00,257.00,129646.00,233.11,240.00,242.00,253.00,256.00,257.00,257.00,257.00,257.00,6.65
HTTP Chunks Sent,1.00,1.00,1.00,512.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,512.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),78.24,62.55,79.59,40059.69,72.15,74.26,74.77,78.34,79.03,79.34,79.44,79.48,79.54,2.02
HTTP Data Sent (KB),29.86,28.16,31.48,15289.73,28.40,28.94,29.23,29.58,29.86,30.18,30.47,30.74,31.15,0.53
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),17454.83,7996.83,26808.99,8936873.68,8743.90,12399.69,16684.72,17459.37,17494.95,17540.81,17881.58,22141.66,25742.88,2518.05
HTTP Receiving (ms),15193.59,6294.42,17239.26,7779119.74,6952.21,10610.18,14909.74,15388.14,15702.89,15716.76,15932.78,16525.70,17188.22,1788.26
HTTP Sending (ms),0.47,0.21,2.29,238.63,0.32,0.36,0.37,0.38,0.40,0.42,0.59,0.76,1.82,0.25
HTTP Total Time (ms),17454.83,7996.83,26808.99,8936873.68,8743.90,12399.69,16684.72,17459.37,17494.95,17540.81,17881.58,22141.66,25742.88,2518.05
HTTP Waiting (TTFB) (ms),2260.77,278.76,11095.48,1157515.31,302.97,960.48,1549.05,1781.51,1790.36,1908.98,2584.75,6747.01,10312.26,1767.74
Input Sequence Length (tokens),7168.84,7167.00,7169.00,3670444.00,7168.00,7168.00,7168.00,7169.00,7169.00,7169.00,7169.00,7169.00,7169.00,0.39
Inter Chunk Latency (ms),60.43,0.00,1923.35,7773266.02,14.58,17.85,19.73,23.05,26.42,30.79,266.24,360.01,369.38,102.22
Inter Token Latency (ms),60.10,24.67,82.98,30770.80,27.84,41.59,58.42,60.96,61.60,62.41,63.76,64.90,68.16,7.21
OSL Mismatch Diff % (%),-0.89,-21.48,0.39,-455.47,-6.12,-2.73,-2.34,-1.17,-0.39,0.00,0.00,0.00,0.00,1.75
Output Sequence Length (tokens),253.72,201.00,257.00,129906.00,240.33,249.00,250.00,253.00,255.00,256.00,256.00,256.00,256.00,4.49
Output Token Count (tokens),253.72,201.00,257.00,129906.00,240.33,249.00,250.00,253.00,255.00,256.00,256.00,256.00,256.00,4.49
Output Token Throughput Per User (tokens/sec/user),17.06,12.05,40.54,8734.21,14.67,15.41,15.68,16.02,16.23,16.40,17.12,24.05,35.92,3.61
Prefill Throughput Per User (tokens/sec/user),4242.60,646.08,25662.35,2172213.24,695.13,1062.36,2777.44,3754.21,4002.86,4022.12,4626.32,7455.67,23620.68,2942.93
Request Latency (ms),17443.62,7993.09,26800.20,8931133.78,8742.83,12394.60,16676.20,17428.26,17486.75,17534.64,17874.46,22139.26,25735.99,2517.80
Time to First Output Token (ms),2261.46,279.36,11096.20,1157867.76,303.51,961.55,1549.61,1782.34,1790.97,1909.63,2585.55,6747.68,10313.22,1767.74
Time to First Token (ms),2261.46,279.36,11096.20,1157867.76,303.51,961.55,1549.61,1782.34,1790.97,1909.63,2585.55,6747.68,10313.22,1767.74
Time to Second Token (ms),358.58,14.95,1095.63,183591.37,20.68,272.94,344.61,353.34,359.54,365.55,370.66,374.56,728.86,95.29
Tokens In Flight (tokens),464299.33,0.00,474028.31,,,,,,464935.25,,471296.48,472221.34,473592.66,14525.12

Metric,Value
Benchmark Duration (sec),139.91
Input Token Throughput (tokens/sec),26231.50
OSL Mismatch Count,7.00
Output Token Throughput (tokens/sec),928.40
Request Count,512.00
Request Throughput (requests/sec),3.66
Total Input Sequence Length (tokens),3670444.00
Total Output Sequence Length (tokens),129906.00
Total Output Tokens (tokens),129906.00
Total Token Throughput (tokens/sec),27159.90


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
