Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1244.52,0.00,6497.36,,,,,,1269.84,,1376.01,1420.40,1561.01,167.68
Active Decode Throughput Per User (tokens/sec/user),157.95,0.00,812.17,,,,,,159.03,,172.67,179.15,206.49,17.45
Active Prefill Throughput (tokens/sec),42554.66,4992.71,75046.52,,,,,,51288.99,,68573.80,75046.52,75046.52,23260.46
Active Prefill Throughput Per User (tokens/sec/user),7474.51,4992.71,9670.38,,,,,,7690.18,,8952.04,9380.82,9380.82,1148.52
Active Total Throughput (tokens/sec),3691.12,162.25,75046.52,,,,,,1286.90,,1293.66,12481.57,67598.27,11220.06
Credit-to-Start Latency (ms),4.69,2.19,8.28,300.08,2.61,3.10,3.47,4.10,4.43,4.85,6.28,7.88,8.11,1.24
Decode Duration (ms),1538.31,385.07,1592.23,98451.66,613.43,1542.27,1555.46,1558.95,1565.92,1580.48,1583.59,1584.20,1588.13,177.90
E2E Output Token Throughput (tokens/sec/user),155.04,136.09,158.94,9922.80,143.10,151.46,152.40,154.39,155.62,156.59,157.34,157.70,158.50,3.10
Effective Concurrency,7.94,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.50
Effective Decode Concurrency,7.62,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.58
Effective Decode Throughput (tokens/sec),1204.17,0.00,6497.36,,,,,,1265.18,,1374.43,1418.65,1551.51,275.31
Effective Decode Throughput Per User (tokens/sec/user),152.83,0.00,812.17,,,,,,158.65,,172.44,178.65,206.00,32.82
Effective Latency (CO-aware) (ms),1641.94,1615.86,1666.80,105084.20,1620.78,1626.28,1631.29,1636.16,1640.98,1650.46,1654.63,1657.81,1663.34,9.86
Effective Prefill Concurrency,0.32,0.00,8.00,,,,,,0.00,,0.00,2.00,8.00,1.44
Effective Prefill Throughput (tokens/sec),2484.15,0.00,75046.52,,,,,,0.00,,0.00,11560.90,67598.27,11450.99
Effective Prefill Throughput Per User (tokens/sec/user),436.33,0.00,9670.38,,,,,,0.00,,0.00,5920.12,8571.72,1774.25
Effective Total Throughput (tokens/sec),3688.32,0.00,75046.52,,,,,,1286.90,,1293.66,12320.94,67598.27,11216.26
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,250.09,64.00,257.00,16006.00,103.06,245.60,250.00,254.75,256.00,257.00,257.00,257.00,257.00,28.52
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.40,19.53,79.66,4953.72,31.63,77.20,77.84,78.73,79.20,79.35,79.49,79.53,79.64,8.86
HTTP Data Sent (KB),2.21,2.01,2.46,141.56,2.04,2.07,2.10,2.15,2.21,2.27,2.32,2.34,2.41,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1637.01,1611.33,1658.55,104768.74,1616.48,1621.11,1624.78,1631.47,1635.82,1644.48,1650.84,1652.18,1657.10,9.91
HTTP Receiving (ms),1571.21,1539.76,1592.48,100557.51,1542.89,1555.65,1557.59,1559.95,1572.79,1582.76,1585.50,1585.97,1588.86,12.45
HTTP Sending (ms),0.53,0.35,1.58,34.12,0.35,0.36,0.37,0.39,0.43,0.51,0.68,1.50,1.56,0.30
HTTP Total Time (ms),1637.01,1611.33,1658.55,104768.74,1616.48,1621.11,1624.78,1631.47,1635.82,1644.48,1650.84,1652.18,1657.10,9.91
