Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),7024.90,0.00,36105.07,,,,,,7844.99,,9428.53,10263.44,14445.18,3268.10
Active Decode Throughput Per User (tokens/sec/user),111.43,0.00,583.52,,,,,,122.73,,147.58,160.97,226.94,49.40
Active Prefill Throughput (tokens/sec),74547.86,850.87,367702.60,,,,,,74617.42,,123037.06,211311.69,348277.62,57596.45
Active Prefill Throughput Per User (tokens/sec/user),1566.16,846.56,8415.88,,,,,,1205.71,,3135.45,3563.43,5705.95,979.05
Active Total Throughput (tokens/sec),20846.33,125.34,367702.60,,,,,,8126.08,,74748.38,84360.15,211568.11,36218.78
Credit-to-Start Latency (ms),7.63,0.70,23.25,3904.24,0.94,1.15,1.36,4.32,6.23,10.88,15.83,18.31,21.66,5.23
Decode Duration (ms),1961.12,600.06,2414.00,1004091.63,1203.38,1882.52,1894.43,1902.04,1909.82,2033.95,2176.48,2183.23,2384.20,184.13
E2E Output Token Throughput (tokens/sec/user),109.97,35.47,127.67,56305.80,88.53,99.30,100.52,101.78,103.86,119.08,123.70,124.38,125.22,10.70
Effective Concurrency,63.48,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,4.04
Effective Decode Concurrency,54.55,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,20.58
Effective Decode Throughput (tokens/sec),6818.23,0.00,36105.07,,,,,,7805.52,,9406.54,10206.76,14379.83,3431.54
Effective Decode Throughput Per User (tokens/sec/user),108.15,0.00,583.52,,,,,,122.11,,147.19,160.22,226.09,52.18
Effective Latency (CO-aware) (ms),2325.82,2016.07,2556.22,1190819.36,2047.07,2055.41,2065.17,2143.99,2344.15,2515.44,2527.22,2535.70,2550.64,194.89
Effective Prefill Concurrency,8.93,0.00,64.00,,,,,,0.00,,61.00,62.00,64.00,20.10
Effective Prefill Throughput (tokens/sec),14020.69,0.00,367702.60,,,,,,0.00,,74536.89,84360.15,211311.69,38373.80
Effective Prefill Throughput Per User (tokens/sec/user),294.56,0.00,8415.88,,,,,,0.00,,1205.71,1688.37,3563.43,744.87
Effective Total Throughput (tokens/sec),20838.92,0.00,367702.60,,,,,,8126.08,,74748.38,84360.15,211568.11,36214.47
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,234.53,86.00,256.00,120080.00,118.42,210.00,216.00,224.75,242.00,248.00,251.00,252.00,255.00,22.57
HTTP Chunks Sent,1.00,1.00,1.00,512.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,512.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),74.17,26.68,79.48,37976.97,37.57,67.26,68.74,71.48,76.51,78.09,78.69,78.94,79.34,6.92
HTTP Data Sent (KB),2.23,1.79,2.54,1144.26,2.00,2.07,2.11,2.17,2.24,2.30,2.35,2.39,2.46,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2318.01,2008.10,2546.71,1186822.00,2045.81,2054.08,2063.31,2136.57,2338.55,2502.39,2517.44,2527.88,2540.73,192.64
HTTP Receiving (ms),1992.05,1887.03,2421.30,1019929.08,1888.88,1896.83,1902.96,1908.58,1917.40,2119.69,2183.84,2193.94,2396.08,124.64
HTTP Sending (ms),0.41,0.08,2.09,210.02,0.10,0.15,0.21,0.29,0.38,0.46,0.53,0.74,1.65,0.25
HTTP Total Time (ms),2318.01,2008.10,2546.71,1186822.00,2045.81,2054.08,2063.31,2136.57,2338.55,2502.39,2517.44,2527.88,2540.73,192.64
