Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),5147.33,0.00,17870.06,,,,,,6622.68,,7500.01,8292.96,10898.28,3111.90
Active Decode Throughput Per User (tokens/sec/user),83.74,0.00,5001.04,,,,,,103.76,,117.54,133.34,172.96,51.04
Active Prefill Throughput (tokens/sec),35420.88,413.11,133420.06,,,,,,23933.35,,101620.74,127648.82,133420.06,34953.89
Active Prefill Throughput Per User (tokens/sec/user),1143.78,412.92,6940.22,,,,,,660.32,,2084.69,4262.62,6314.83,1185.69
Active Total Throughput (tokens/sec),15337.32,108.60,133420.06,,,,,,6897.67,,36742.80,53509.72,130901.37,23127.80
Credit-to-Start Latency (ms),8.11,0.70,24.47,4150.31,1.09,1.34,1.79,4.27,6.52,11.65,15.28,18.47,21.94,5.12
Decode Duration (ms),2614.91,1272.83,3430.61,1338834.99,2115.24,2308.85,2309.32,2335.93,2489.43,2887.67,3152.02,3330.75,3407.35,358.75
E2E Output Token Throughput (tokens/sec/user),81.98,44.82,100.32,41974.26,64.12,68.84,69.56,70.42,76.22,97.93,99.02,99.51,99.90,13.39
Effective Concurrency,63.56,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,3.28
Effective Decode Concurrency,52.86,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,20.24
Effective Decode Throughput (tokens/sec),5044.45,0.00,17870.06,,,,,,6604.67,,7494.77,8238.80,10884.52,3163.75
Effective Decode Throughput Per User (tokens/sec/user),82.07,0.00,5001.04,,,,,,103.46,,117.41,132.01,172.95,51.87
Effective Latency (CO-aware) (ms),3170.96,2542.20,3668.09,1623533.65,2553.66,2567.00,2582.95,2592.78,3300.84,3626.52,3637.82,3647.17,3656.62,479.00
Effective Prefill Concurrency,10.70,0.00,64.00,,,,,,0.00,,53.00,61.00,64.00,19.93
Effective Prefill Throughput (tokens/sec),10288.51,0.00,133420.06,,,,,,0.00,,35914.64,53361.60,130901.37,24768.06
Effective Prefill Throughput Per User (tokens/sec/user),332.23,0.00,6940.22,,,,,,0.00,,806.16,1899.53,4490.70,823.39
Effective Total Throughput (tokens/sec),15332.96,0.00,133420.06,,,,,,6897.67,,36742.80,53509.72,130901.37,23125.96
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,252.74,244.00,255.00,129405.00,246.11,250.00,251.00,252.00,253.00,254.00,255.00,255.00,255.00,1.67
HTTP Chunks Sent,1.00,1.00,1.00,512.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,512.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),63.72,61.63,64.48,32624.79,62.07,63.07,63.21,63.51,63.77,64.03,64.24,64.32,64.41,0.42
HTTP Data Sent (KB),2.23,1.79,2.54,1144.26,2.00,2.07,2.11,2.17,2.24,2.30,2.35,2.39,2.46,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3162.67,2540.98,3654.88,1619285.43,2552.19,2565.46,2571.65,2587.96,3294.09,3616.65,3628.99,3634.80,3645.93,476.46
HTTP Receiving (ms),2630.31,2304.49,3430.61,1346717.01,2304.71,2309.12,2311.33,2336.88,2490.03,2888.04,3157.06,3334.12,3411.04,345.49
HTTP Sending (ms),0.41,0.09,2.55,207.60,0.13,0.18,0.25,0.28,0.38,0.43,0.51,0.70,1.67,0.25
HTTP Total Time (ms),3162.67,2540.98,3654.88,1619285.43,2552.19,2565.46,2571.65,2587.96,3294.09,3616.65,3628.99,3634.80,3645.93,476.46
HTTP Waiting (TTFB) (ms),531.95,60.09,1244.04,272360.83,103.51,184.70,216.08,256.02,292.90,784.12,1126.55,1220.71,1238.26,355.24
Input Sequence Length (tokens),512.00,512.00,512.00,262144.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),10.53,0.00,606.74,1338834.99,5.48,6.20,7.60,8.78,9.22,9.64,10.30,13.84,27.84,16.63
Inter Token Latency (ms),10.43,8.73,16.95,5342.56,9.04,9.06,9.11,9.23,9.89,11.41,12.52,13.33,13.75,1.44
OSL Mismatch Diff % (%),-1.55,-63.28,0.00,-793.36,-22.18,-3.91,-2.34,-1.56,-0.39,0.00,0.00,0.00,0.00,5.14
Output Sequence Length (tokens),252.03,94.00,256.00,129041.00,199.22,246.00,250.00,252.00,255.00,256.00,256.00,256.00,256.00,13.15
Output Token Count (tokens),252.03,94.00,256.00,129041.00,199.22,246.00,250.00,252.00,255.00,256.00,256.00,256.00,256.00,13.15
Output Token Throughput Per User (tokens/sec/user),97.50,58.98,114.57,49919.84,72.73,74.99,79.88,87.67,101.15,108.33,109.78,110.37,110.64,12.17
Prefill Throughput Per User (tokens/sec/user),1481.74,411.38,8443.29,758652.42,413.34,419.28,453.90,652.60,1744.89,1997.47,2365.00,2760.66,4920.37,958.63
Request Latency (ms),3147.47,1809.78,3655.19,1611503.69,2423.22,2565.38,2568.05,2587.94,3132.67,3615.40,3628.63,3634.30,3646.08,481.97
Time to First Output Token (ms),532.56,60.64,1244.59,272668.70,104.09,185.58,216.49,256.32,293.43,784.55,1127.99,1221.13,1238.68,355.31
Time to First Token (ms),532.56,60.64,1244.59,272668.70,104.09,185.58,216.49,256.32,293.43,784.55,1127.99,1221.13,1238.68,355.31
Time to Second Token (ms),119.31,0.85,606.74,61089.05,4.97,6.98,7.48,12.56,34.58,253.17,297.89,309.94,316.63,127.39
Tokens In Flight (tokens),38720.64,0.00,48896.69,,,,,,38288.63,,46456.98,47413.14,48308.62,5532.70

Metric,Value
Benchmark Duration (sec),25.47
Input Token Throughput (tokens/sec),10288.51
OSL Mismatch Count,20.00
Output Token Throughput (tokens/sec),5064.54
Request Count,512.00
Request Throughput (requests/sec),20.09
Total Input Sequence Length (tokens),262144.00
Total Output Sequence Length (tokens),129041.00
Total Output Tokens (tokens),129041.00
Total Token Throughput (tokens/sec),15353.06
