Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),158.48,0.00,342.86,,,,,,158.89,,168.28,173.56,221.34,18.59
Active Decode Throughput Per User (tokens/sec/user),158.48,0.00,342.86,,,,,,158.89,,168.28,173.56,221.34,18.59
Active Prefill Throughput (tokens/sec),22255.65,22255.65,22255.65,,,,,,22255.65,,22255.65,22255.65,22255.65,0.00
Active Prefill Throughput Per User (tokens/sec/user),22255.65,22255.65,22255.65,,,,,,22255.65,,22255.65,22255.65,22255.65,0.00
Active Total Throughput (tokens/sec),3846.00,158.48,22255.65,,,,,,158.48,,22255.65,22255.65,22255.65,8239.30
Credit-to-Start Latency (ms),3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,0.00
Decode Duration (ms),1606.40,1606.40,1606.40,1606.40,1606.40,1606.40,1606.40,1606.40,1606.40,1606.40,1606.40,1606.40,1606.40,0.00
E2E Output Token Throughput (tokens/sec/user),132.73,132.73,132.73,132.73,132.73,132.73,132.73,132.73,132.73,132.73,132.73,132.73,132.73,0.00
Effective Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.08
Effective Decode Concurrency,0.83,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.38
Effective Decode Throughput (tokens/sec),131.25,0.00,342.86,,,,,,157.04,,166.25,171.62,197.35,62.13
Effective Decode Throughput Per User (tokens/sec/user),131.25,0.00,342.86,,,,,,157.04,,166.25,171.62,197.35,62.13
Effective Latency (CO-aware) (ms),1935.22,1935.22,1935.22,1935.22,1935.22,1935.22,1935.22,1935.22,1935.22,1935.22,1935.22,1935.22,1935.22,0.00
Effective Prefill Concurrency,0.17,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.37
Effective Prefill Throughput (tokens/sec),3692.05,0.00,22255.65,,,,,,0.00,,22255.65,22255.65,22255.65,8278.76
Effective Prefill Throughput Per User (tokens/sec/user),3692.05,0.00,22255.65,,,,,,0.00,,22255.65,22255.65,22255.65,8278.76
Effective Total Throughput (tokens/sec),3823.31,0.00,22255.65,,,,,,158.48,,22255.65,22255.65,22255.65,8220.23
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,0.00
HTTP Connection Overhead (ms),9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),79.42,79.42,79.42,79.42,79.42,79.42,79.42,79.42,79.42,79.42,79.42,79.42,79.42,0.00
HTTP Data Sent (KB),28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,0.00
HTTP DNS Lookup (ms),3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,0.00
HTTP Duration (excl. conn) (ms),1930.88,1930.88,1930.88,1930.88,1930.88,1930.88,1930.88,1930.88,1930.88,1930.88,1930.88,1930.88,1930.88,0.00
HTTP Receiving (ms),1609.18,1609.18,1609.18,1609.18,1609.18,1609.18,1609.18,1609.18,1609.18,1609.18,1609.18,1609.18,1609.18,0.00
HTTP Sending (ms),6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,0.00
HTTP Total Time (ms),1940.55,1940.55,1940.55,1940.55,1940.55,1940.55,1940.55,1940.55,1940.55,1940.55,1940.55,1940.55,1940.55,0.00
HTTP Waiting (TTFB) (ms),314.83,314.83,314.83,314.83,314.83,314.83,314.83,314.83,314.83,314.83,314.83,314.83,314.83,0.00
Input Sequence Length (tokens),7173.00,7173.00,7173.00,7173.00,7173.00,7173.00,7173.00,7173.00,7173.00,7173.00,7173.00,7173.00,7173.00,0.00
Inter Chunk Latency (ms),6.30,2.92,9.97,1606.40,3.86,5.67,5.91,6.12,6.28,6.48,6.70,6.95,8.75,0.63
Inter Token Latency (ms),6.30,6.30,6.30,6.30,6.30,6.30,6.30,6.30,6.30,6.30,6.30,6.30,6.30,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),158.74,158.74,158.74,158.74,158.74,158.74,158.74,158.74,158.74,158.74,158.74,158.74,158.74,0.00
Prefill Throughput Per User (tokens/sec/user),22255.66,22255.66,22255.66,22255.66,22255.66,22255.66,22255.66,22255.66,22255.66,22255.66,22255.66,22255.66,22255.66,0.00
