Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),164.54,0.00,6173.27,,,,,,165.22,,175.68,180.85,206.83,20.06
Active Decode Throughput Per User (tokens/sec/user),164.54,0.00,6173.27,,,,,,165.22,,175.68,180.85,206.83,20.06
Active Prefill Throughput (tokens/sec),8073.39,6070.34,9033.75,,,,,,8241.81,,8579.90,8668.89,9033.75,626.88
Active Prefill Throughput Per User (tokens/sec/user),8073.39,6070.34,9033.75,,,,,,8241.81,,8579.90,8668.89,9033.75,626.88
Active Total Throughput (tokens/sec),478.05,153.35,9033.75,,,,,,165.53,,166.46,166.65,8435.62,1548.15
Credit-to-Start Latency (ms),4.21,3.65,7.79,269.74,3.73,3.86,3.89,3.96,4.05,4.30,4.61,4.76,6.48,0.55
Decode Duration (ms),1535.89,1529.48,1556.29,98296.90,1529.58,1530.12,1530.59,1531.96,1537.22,1539.04,1540.00,1540.53,1549.07,4.75
E2E Output Token Throughput (tokens/sec/user),158.70,148.30,161.13,10157.09,151.83,155.33,156.49,157.67,159.23,160.17,160.73,160.86,161.00,2.14
Effective Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.08
Effective Decode Concurrency,0.95,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.21
Effective Decode Throughput (tokens/sec),157.12,0.00,6173.27,,,,,,164.81,,175.39,180.49,206.17,39.37
Effective Decode Throughput Per User (tokens/sec/user),157.12,0.00,6173.27,,,,,,164.81,,175.39,180.49,206.17,39.37
Effective Latency (CO-aware) (ms),1604.07,1594.56,1634.47,102660.77,1595.05,1595.75,1596.24,1597.26,1603.65,1608.06,1613.46,1621.37,1628.14,7.99
Effective Prefill Concurrency,0.04,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.19
Effective Prefill Throughput (tokens/sec),318.21,0.00,9033.75,,,,,,0.00,,0.00,0.00,8435.62,1575.84
Effective Prefill Throughput Per User (tokens/sec/user),318.21,0.00,9033.75,,,,,,0.00,,0.00,0.00,8435.62,1575.84
Effective Total Throughput (tokens/sec),475.34,0.00,9033.75,,,,,,165.53,,166.46,166.65,8435.62,1544.16
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,254.80,237.00,257.00,16307.00,244.56,252.00,252.00,254.00,256.00,256.00,257.00,257.00,257.00,2.89
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),78.89,73.04,79.52,5048.97,75.68,77.75,78.21,78.57,79.22,79.39,79.46,79.47,79.51,0.91
HTTP Data Sent (KB),2.21,2.01,2.46,141.56,2.04,2.07,2.10,2.15,2.21,2.27,2.32,2.34,2.41,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1599.67,1590.32,1629.60,102379.08,1590.78,1591.66,1592.04,1592.94,1599.39,1603.13,1609.07,1617.11,1623.51,7.92
HTTP Receiving (ms),1536.45,1530.12,1556.52,98332.83,1530.14,1531.08,1531.27,1532.05,1538.24,1539.48,1540.55,1541.55,1549.58,4.80
HTTP Sending (ms),0.39,0.24,0.92,25.04,0.30,0.35,0.35,0.35,0.36,0.38,0.41,0.58,0.85,0.10
HTTP Total Time (ms),1599.67,1590.32,1629.60,102379.08,1590.78,1591.66,1592.04,1592.94,1599.39,1603.13,1609.07,1617.11,1623.51,7.92
HTTP Waiting (TTFB) (ms),62.83,56.14,83.48,4021.21,56.74,58.54,59.09,60.12,61.47,63.14,67.29,74.47,83.43,5.38
Input Sequence Length (tokens),512.00,512.00,512.00,32768.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),6.06,0.16,26.69,98296.90,4.52,5.46,5.64,5.86,6.02,6.21,6.41,6.59,7.85,0.77
Inter Token Latency (ms),6.08,6.00,6.52,388.88,6.00,6.00,6.01,6.03,6.04,6.12,6.16,6.19,6.36,0.08
OSL Mismatch Diff % (%),-0.85,-7.81,0.00,-54.69,-5.60,-2.34,-1.95,-1.56,-0.39,0.00,0.00,0.00,0.00,1.28
Output Sequence Length (tokens),253.81,236.00,256.00,16244.00,241.67,250.00,251.00,252.00,255.00,256.00,256.00,256.00,256.00,3.28
Output Token Count (tokens),253.81,236.00,256.00,16244.00,241.67,250.00,251.00,252.00,255.00,256.00,256.00,256.00,256.00,3.28
Output Token Throughput Per User (tokens/sec/user),164.60,153.37,166.66,10534.68,157.20,161.43,162.45,163.41,165.44,165.86,166.46,166.55,166.65,2.15
Prefill Throughput Per User (tokens/sec/user),8122.06,6070.34,9033.75,519812.05,6086.24,6822.35,7551.84,8037.42,8257.48,8441.36,8575.85,8666.84,8938.28,575.43
Request Latency (ms),1599.31,1588.79,1629.17,102355.66,1589.86,1591.09,1591.67,1592.90,1598.99,1602.51,1607.98,1616.82,1623.47,7.81
Time to First Output Token (ms),63.42,56.68,84.34,4058.77,57.29,59.08,59.70,60.65,62.00,63.70,67.81,75.09,84.12,5.40
Time to First Token (ms),63.42,56.68,84.34,4058.77,57.29,59.08,59.70,60.65,62.00,63.70,67.81,75.09,84.12,5.40
Time to Second Token (ms),4.33,3.07,9.56,276.95,3.13,3.30,3.49,3.89,4.13,4.64,5.16,5.45,7.84,0.93
Tokens In Flight (tokens),630.78,0.00,768.00,,,,,,633.52,,739.09,752.09,763.01,89.27

Metric,Value
Benchmark Duration (sec),102.96
Input Token Throughput (tokens/sec),318.21
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),157.75
Request Count,64.00
Request Throughput (requests/sec),0.62
Total Input Sequence Length (tokens),32768.00
Total Output Sequence Length (tokens),16244.00
